defn,tf,entry,stop,atr_p,stop_k,tp_r,fill,n,R,usd,net,pf,win,avg_w,avg_l,dd,retdd,sharpe,sortino,p90,p10
wick,5,edge,atr,20,1.25,1.25,0.8418254319893664,1160,-0.2587712883167251,-3.4477103520209202,-3999.3440083442674,0.761333012283633,0.4732758620689655,23.23799894059181,-27.425540796610754,4514.312388546477,-0.8859253999548711,-2.897066023958617,-4.561758216304005,36.67015993580361,-40.54703328915595
wick,5,edge,atr,20,1.25,1.5,0.8418254319893664,1160,-0.28748260349822163,-3.985963472253042,-4623.717627813528,0.7497550432933452,0.41810344827586204,28.562987323658767,-27.372987377463744,5247.926302385634,-0.8810561279627062,-3.1003531832969524,-5.143638881065359,42.00865178310458,-41.267636133526246
wick,5,edge,atr,20,1.25,2.0,0.8409392999556934,1159,-0.3512694283552708,-5.0736820485904115,-5880.397494316287,0.7222964384278565,0.3364969801553063,39.217156436472656,-27.535875818648396,6489.919280367681,-0.906081761618326,-3.373194497837998,-5.680694671623166,49.779952440621564,-42.68656581185234
wick,5,edge,atr,20,1.5,0.75,0.8418254319893664,1160,-0.1538644090848468,-2.0863536674004552,-2420.170254184528,0.8273693625340293,0.6198275862068966,16.132385416764567,-31.789921471288547,2766.5062681471627,-0.874811050330788,-1.7326992673312818,-2.2734169412420324,28.72405733666939,-41.18087379833152
wick,5,edge,atr,20,1.5,1.0,0.8413823659725299,1159,-0.2050396130293293,-3.1641785036652026,-3667.28288574797,0.7884044184950967,0.5297670405522001,22.254533525898285,-31.801039395687184,4103.051112084534,-0.8937941023807587,-2.361391131270612,-3.5225916565800324,36.62317246060819,-45.30577614201931
wick,5,edge,atr,20,1.5,1.25,0.8391670358883474,1154,-0.23889968278175214,-3.974663122213789,-4586.761243034713,0.7677263149401955,0.4610051993067591,28.497116554153283,-31.747953777884664,4995.430761625681,-0.9181913356240826,-2.6845343227704386,-4.380883046598323,43.72887893706329,-47.10229156040761
wick,5,edge,atr,20,1.5,1.5,0.8387239698715109,1154,-0.26666676138347023,-4.724883918754386,-5452.516042242561,0.749559593959378,0.4055459272097054,34.870073836069196,-31.73718745994598,5996.8938886906535,-0.9092233652033235,-2.980646111652899,-5.073452792243338,50.58267990767025,-48.33900824669356
wick,5,edge,atr,20,1.5,2.0,0.8369517058041648,1150,-0.28232531905940306,-5.438419961966331,-6254.182956261281,0.7438595934385969,0.34,46.452243955766356,-32.16997410140438,6655.928919375367,-0.9396408873982104,-2.9590128018469737,-5.39909818022868,59.05203920969479,-50.1864671336468
wick,5,edge,atr,30,0.5,0.75,0.8444838280903855,1165,-0.23780918258266645,-0.011292139772584104,-13.15534283506048,0.9974866529659348,0.5201716738197425,8.615573286451335,-9.363493299507278,516.8187672644814,-0.02545446038016698,-0.02150830173073282,-0.03799424651072892,12.480000000000068,-15.660000454592518
wick,5,edge,atr,30,0.5,1.0,0.8444838280903855,1165,-0.2267578788573534,0.06917634124622685,80.59043755185428,1.0142757524250305,0.5510729613733906,8.91878143580756,-10.794010027221026,461.88988689325697,0.17447976203574853,0.12694019223868885,0.23221248157689622,14.18,-15.991622907677375
wick,5,edge,atr,30,0.5,1.25,0.8444838280903855,1165,-0.2781925925793473,-0.24063874928315676,-280.34414291487764,0.956789084733607,0.5381974248927038,9.900262116153534,-12.059123586883166,821.3053283274935,-0.34133973474368,-0.4281759995519724,-0.7890513595851587,15.865998269995618,-16.597541786090297
wick,5,edge,atr,30,0.5,1.5,0.8444838280903855,1165,-0.324706793410544,-0.5605003695105681,-652.9829304798119,0.9105046365771953,0.5107296137339056,11.16519952963329,-12.800485351950208,1120.9169555269816,-0.5825435392515962,-0.9395992229769015,-1.8118580327282992,18.257459918550467,-17.15879274469073
wick,5,edge,atr,30,0.5,2.0,0.8444838280903855,1165,-0.44907644133076036,-1.6082769720749206,-1873.6426724672824,0.790997089933978,0.42832618025751074,14.210480924838482,-13.460469450392917,2164.8112006449514,-0.8654993432725576,-2.4747384671923998,-4.423422453940962,21.707728827740073,-18.49789923821838
wick,5,edge,atr,30,0.75,0.75,0.8444838280903855,1165,-0.08859111096729863,0.831642264201671,968.8632377949467,1.1640182942292316,0.6291845493562231,9.380500648696488,-13.673712355786058,418.4288607583626,2.315478994539177,1.3583228471212179,2.3389268609921015,16.18,-19.138363239975586
wick,5,edge,atr,30,0.75,1.0,0.8444838280903855,1165,-0.18045484969455666,-0.08126258048067633,-94.67090625998793,0.9878502967854786,0.592274678111588,11.155599369190405,-16.40428309684498,885.7475319224291,-0.1068824951219609,-0.1234497457559923,-0.22322719771859081,19.80798931571454,-21.399755019531877
wick,5,edge,atr,30,0.75,1.25,0.8444838280903855,1165,-0.2574446483705588,-1.1115108776283462,-1294.9101724370234,0.864530147104604,0.5296137339055794,13.393434604703218,-17.44280898456005,1736.4118229555943,-0.7457390898392533,-1.5249152804796557,-2.5293731200709835,22.643786368747254,-23.270675507605773
wick,5,edge,atr,30,0.75,1.5,0.8444838280903855,1165,-0.3333701824542317,-2.369496590243878,-2760.463527634118,0.7537715668125787,0.4669527896995708,15.534048739840307,-18.053117620140487,2960.063816578775,-0.9325689237418692,-2.9954687559256548,-4.737866443105245,25.4561706204503,-25.40049758583511
wick,5,edge,atr,30,0.75,2.0,0.8444838280903855,1165,-0.44300801366571446,-3.6933774088836455,-4302.784681349447,0.6771393475474132,0.3699570815450644,20.938003799937242,-18.156763377550952,4527.825865636688,-0.9502981804147638,-4.244582207824509,-7.001992559612619,29.721755509571533,-26.672886901613964
wick,5,edge,atr,30,1.0,0.75,0.8444838280903855,1165,-0.11841725822019356,0.5245581680615446,611.1102657916995,1.0768343631791963,0.6454935622317597,11.389250592345647,-19.258126342983598,640.768116122646,0.9537151590650152,0.7352106246196688,1.2414691855777071,20.855461883089163,-24.527149734436097
wick,5,edge,atr,30,1.0,1.0,0.844040762073549,1164,-0.19706821848257333,-0.9578564596552674,-1114.9449190387313,0.8957322817191258,0.5721649484536082,14.381611077509065,-21.47208412983889,1597.8940768758875,-0.6977589661128282,-1.186752847454706,-1.8494428357532924,24.97913734605399,-28.37834592183455
wick,5,edge,atr,30,1.0,1.25,0.8435976960567124,1164,-0.3226145093426394,-3.4423752481703698,-4006.9247888703103,0.7071928280171609,0.47079037800687284,17.65984021358328,-22.215125366743422,4274.563600877829,-0.9373880384064104,-3.7178032946645785,-5.38177854441961,28.220437873782505,-32.36132626786231
wick,5,edge,atr,30,1.0,1.5,0.8435976960567124,1164,-0.34817592174726225,-3.7662605080955425,-4383.927231423211,0.7070228245910269,0.42439862542955326,21.415885406601713,-22.333394958633516,4719.104265569856,-0.9289744376719826,-3.7920177611343795,-5.828308790055941,32.73790731801317,-32.99279573329506
wick,5,edge,atr,30,1.0,2.0,0.8431546300398759,1163,-0.4073247668847902,-4.768927194654798,-5546.26232738353,0.6764878273772996,0.33963886500429924,29.36112361374775,-22.322794472413918,5996.99880999855,-0.924839657819587,-4.365356242690173,-7.292496697427416,38.56657871256873,-33.8306693728143
wick,5,edge,atr,30,1.25,0.75,0.844040762073549,1164,-0.12643543824681078,-0.43296487494563346,-503.97111443671736,0.9522780205961942,0.6400343642611683,13.498785117638386,-25.2042148617597,1104.4572128879595,-0.4563065988938787,-0.4961539860109169,-0.7012190924773551,24.365717167457188,-31.297991243427823
wick,5,edge,atr,30,1.25,1.0,0.8431546300398759,1163,-0.22521479791096863,-2.829183128051151,-3290.3399779234887,0.7702063090233983,0.5365434221840069,17.673605447179032,-26.5652500500245,3575.5794969119625,-0.9202256531466242,-2.758136701406934,-3.873584692817597,29.180000000000003,-37.75942032139021
wick,5,edge,atr,30,1.25,1.25,0.8431546300398759,1163,-0.2464049203537477,-3.123993239293618,-3633.2041372984777,0.7752839264685564,0.47893379191745483,22.504079176568634,-26.679828776645557,4040.8426625367233,-0.899120416388016,-2.8044622196942783,-4.305503816702014,35.48764812779671,-38.88018609172024
wick,5,edge,atr,30,1.25,1.5,0.842268498006203,1161,-0.2900751359876235,-4.171864111273257,-4843.534233188251,0.7322615582049148,0.4177433247200689,27.313423519586223,-26.761160710336636,5313.181686502872,-0.9116071158440392,-3.475851851415526,-5.662395207751305,40.88952360863157,-39.895713526210166
wick,5,edge,atr,30,1.25,2.0,0.8418254319893664,1161,-0.3566804126154713,-5.401320894344955,-6270.933558334493,0.6986136175724298,0.3341946597760551,37.46397844508377,-26.917150316981875,6687.26653236372,-0.9377424285372296,-3.7957649799100976,-6.3693909688850505,49.32424138329923,-41.601393707729876
wick,5,edge,atr,30,1.5,0.75,0.842268498006203,1161,-0.1393547228241397,-1.3569080906271935,-1575.3702932181716,0.8802256920846165,0.6261843238587425,15.924969579476286,-30.306044187782096,2091.1956758433053,-0.75333471248829,-1.198990046602085,-1.6446182866752443,28.4101150244748,-37.85244730567894
wick,5,edge,atr,30,1.5,1.0,0.8418254319893664,1160,-0.19609543340147825,-2.767305146157075,-3210.0739695422067,0.8067541557301942,0.5353448275862069,21.58015142466158,-30.81882746615408,3611.329097831749,-0.8888899024654228,-2.154078901617282,-3.202896105453159,35.55739987400419,-43.325184272997575
wick,5,edge,atr,30,1.5,1.25,0.8409392999556934,1158,-0.24194037597512902,-3.9475772821884605,-4571.294492774237,0.762953876152443,0.46027633851468047,27.604343116572494,-30.855054998251802,5046.85404039406,-0.9057710914931294,-2.769616600063852,-4.530407086882077,42.71009164330651,-45.83751239551231
wick,5,edge,atr,30,1.5,1.5,0.8404962339388569,1158,-0.2900481252127994,-5.047378725955183,-5844.864564656102,0.7286292386654806,0.40241796200345425,33.676897670356375,-31.124709362777708,6153.442107345307,-0.9498528567741201,-3.35764406831764,-5.636255769235964,48.77435877324938,-46.85948519690457
wick,5,edge,atr,30,1.5,2.0,0.8400531679220203,1157,-0.2814828503717684,-5.1879180467679795,-6002.421180110552,0.7484775944195208,0.33967156439066554,45.45022545115117,-31.236073013629525,6493.587256709086,-0.9243613649618602,-2.9342399939144466,-5.368152607977159,58.99432101493994,-48.25068354219868
wick,5,edge,sweep,14,0.5,0.75,0.8258750553832521,928,-0.33280674441590596,-3.6464111827677512,-3383.8695776084733,0.8425319166615675,0.5862068965517241,33.28193258595267,-55.96156485512167,4194.821968229975,-0.8066777573009405,-1.4073535527100327,-1.8135878041788613,56.76793168515406,-75.1766877288671
wick,5,edge,sweep,14,0.5,1.0,0.818785999113868,922,-0.35978393947820186,-3.845963240925809,-3545.978108133596,0.8583170288853573,0.5086767895878525,45.80293213155827,-55.24846198197445,4567.317944256451,-0.776380832561214,-1.318479364064849,-1.7963039358418655,71.17190289828729,-83.57285202427039
