feed,cell,feat,fam,n,ic,ic_shuffled
US30,SHORT,clk.to_close,clk,348,-0.0495,-0.0144
US30,SHORT,ffd.level,ffd,348,-0.032,0.0435
US30,SHORT,ffd.slope,ffd,348,0.0275,0.031
US30,SHORT,anm.ae_err,anm,346,-0.0247,-0.0287
US30,SHORT,anm.ae_pct,anm,345,0.0002,-0.022
US30,SHORT,anm.mahal,anm,346,0.0089,-0.0357
US30,SHORT,anm.iso,anm,346,0.0022,-0.0515
US30,SHORT,anm.joint_z,anm,348,-0.0205,-0.0578
US30,SHORT,anm.resid_move,anm,348,0.0009,0.0624
US30,SHORT,hst.prev3_R,hst,346,-0.1686,0.0068
US30,SHORT,hst.prev3_win,hst,347,-0.2119,0.0273
US30,SHORT,hst.prev10_R,hst,346,-0.1297,-0.0528
US30,SHORT,hst.prev10_win,hst,347,-0.1512,-0.0139
US30,SHORT,hst.prev25_R,hst,346,-0.1117,0.0045
US30,SHORT,hst.prev25_win,hst,347,-0.1181,-0.0066
US30,SHORT,hst.gap_bars,hst,347,-0.0709,-0.0291
