feed,cell,model,keep,n_kept,kept_frac,base,kept,uplift,ci_lo,ci_hi,boot_p,hit_base,hit_kept,p90_base,p90_kept,verdict
US30,LONG,rf (regularised),0.7,505,0.699,0.0302,0.0251,-0.0052,-0.0349,0.0217,1.0,0.31,0.301,0.42,0.408,FAIL -- the filter does not improv
US30,LONG,lightgbm d3,0.5,361,0.5,0.0302,0.0225,-0.0077,-0.0625,0.0366,1.0,0.31,0.291,0.42,0.457,FAIL -- the filter does not improv
US30,LONG,rf (regularised),0.3,217,0.301,0.0302,0.0199,-0.0103,-0.1089,0.0732,1.0,0.31,0.281,0.42,0.559,FAIL -- the filter does not improv
US30,LONG,xgboost d3,0.3,217,0.301,0.0302,0.0177,-0.0125,-0.1217,0.0763,1.0,0.31,0.276,0.42,0.559,FAIL -- the filter does not improv
US100,SHORT,mlp 2x64,0.7,301,0.698,0.0816,0.0687,-0.0129,-0.0583,0.0348,1.0,0.281,0.256,1.001,0.903,FAIL -- the filter does not improv
US100,SHORT,mlp 2x64,0.5,216,0.501,0.0816,0.0677,-0.014,-0.0791,0.0569,1.0,0.281,0.259,1.001,0.869,FAIL -- the filter does not improv
US100,SHORT,xgboost d6,0.3,130,0.302,0.0816,0.0665,-0.0151,-0.1205,0.0878,1.0,0.281,0.223,1.001,1.152,FAIL -- the filter does not improv
US100,SHORT,mlp 4x128,0.7,301,0.698,0.0816,0.0615,-0.0201,-0.0652,0.0205,1.0,0.281,0.252,1.001,0.852,FAIL -- the filter does not improv
US30,LONG,ridge,0.5,361,0.5,0.0302,0.0073,-0.0229,-0.0724,0.0181,1.0,0.31,0.31,0.42,0.451,FAIL -- the filter does not improv
US30,LONG,ridge,0.7,505,0.699,0.0302,0.0054,-0.0248,-0.0499,-0.0016,1.0,0.31,0.289,0.42,0.383,FAIL -- the filter does not improv
US100,SHORT,xgboost d6,0.5,216,0.501,0.0816,0.0533,-0.0283,-0.1004,0.039,1.0,0.281,0.259,1.001,0.955,FAIL -- the filter does not improv
US100,SHORT,lightgbm d3,0.3,130,0.302,0.0816,0.0508,-0.0308,-0.1413,0.0711,1.0,0.281,0.231,1.001,0.867,FAIL -- the filter does not improv
US100,SHORT,mlp 4x128,0.3,130,0.302,0.0816,0.0452,-0.0364,-0.136,0.0651,1.0,0.281,0.254,1.001,0.958,FAIL -- the filter does not improv
US30,LONG,lightgbm d3,0.3,217,0.301,0.0302,-0.0075,-0.0377,-0.1458,0.0499,1.0,0.31,0.249,0.42,0.51,FAIL -- the filter does not improv
US100,SHORT,xgboost d3,0.3,130,0.302,0.0816,0.0105,-0.0712,-0.1848,0.0363,1.0,0.281,0.208,1.001,0.723,FAIL -- the filter does not improv
