feat,fam,label,h,n,ic,ic_shuf,nw_t
trn.ret96,trn,ret,96,239773,-0.0197,0.0003,0.13
trn.ret96,trn,rng,96,239773,0.0049,-0.0037,-0.11
reg.chop14,reg,ret,1,239866,-0.0056,-0.003,-2.11
reg.chop14,reg,rng,1,239866,-0.0471,0.0036,-15.48
reg.chop14,reg,ret,4,239866,-0.0111,0.0008,-2.29
reg.chop14,reg,rng,4,239866,-0.0141,0.0017,1.48
reg.chop14,reg,ret,16,239866,-0.0122,-0.0002,-2.0
reg.chop14,reg,rng,16,239866,0.0414,0.003,11.35
reg.chop14,reg,ret,96,239866,-0.0015,0.0002,0.21
reg.chop14,reg,rng,96,239866,0.1155,0.0002,14.49
reg.chop48,reg,ret,1,239854,-0.0059,-0.0031,-2.0
reg.chop48,reg,rng,1,239854,0.0287,-0.0002,10.68
reg.chop48,reg,ret,4,239854,-0.0109,-0.0008,-2.14
reg.chop48,reg,rng,4,239854,0.0395,-0.0029,12.42
reg.chop48,reg,ret,16,239854,-0.0119,0.0008,-0.98
reg.chop48,reg,rng,16,239854,0.0845,0.0034,13.98
reg.chop48,reg,ret,96,239854,-0.0024,-0.0023,0.47
reg.chop48,reg,rng,96,239854,0.2007,0.0003,16.85
reg.adx14,reg,ret,1,239869,0.0048,0.0003,1.57
reg.adx14,reg,rng,1,239869,0.0153,-0.0003,-0.61
reg.adx14,reg,ret,4,239869,0.008,0.0021,1.75
reg.adx14,reg,rng,4,239869,-0.0053,0.0001,-4.74
reg.adx14,reg,ret,16,239869,0.0098,-0.0003,1.55
reg.adx14,reg,rng,16,239869,-0.0595,0.0004,-8.74
reg.adx14,reg,ret,96,239869,0.0038,-0.0008,0.26
reg.adx14,reg,rng,96,239869,-0.2244,-0.0003,-18.53
reg.di_spread,reg,ret,1,239869,-0.0378,0.0035,-0.98
reg.di_spread,reg,rng,1,239869,-0.0163,-0.0008,-7.61
reg.di_spread,reg,ret,4,239869,-0.0435,0.0022,-0.2
reg.di_spread,reg,rng,4,239869,-0.0174,-0.0005,-5.85
reg.di_spread,reg,ret,16,239869,-0.0182,0.0014,1.34
reg.di_spread,reg,rng,16,239869,-0.0107,0.003,-3.17
reg.di_spread,reg,ret,96,239869,-0.003,-0.0025,0.71
reg.di_spread,reg,rng,96,239869,0.0053,0.003,0.23
reg.hmm_bear,reg,ret,1,239869,0.0069,-0.001,0.69
reg.hmm_bear,reg,rng,1,239869,0.1614,-0.0021,44.98
reg.hmm_bear,reg,ret,4,239869,0.0097,0.0005,0.33
reg.hmm_bear,reg,rng,4,239869,0.0709,0.0017,16.63
reg.hmm_bear,reg,ret,16,239869,0.0084,-0.0003,0.17
reg.hmm_bear,reg,rng,16,239869,-0.1167,0.002,-13.8
reg.hmm_bear,reg,ret,96,239869,0.0125,0.0028,-0.29
reg.hmm_bear,reg,rng,96,239869,-0.3557,0.0017,-28.81
reg.hmm_side,reg,ret,1,239869,-0.0063,-0.001,-0.93
reg.hmm_side,reg,rng,1,239869,-0.1638,0.0028,-51.14
reg.hmm_side,reg,ret,4,239869,-0.0093,-0.0006,-0.43
reg.hmm_side,reg,rng,4,239869,-0.0731,-0.0025,-12.08
reg.hmm_side,reg,ret,16,239869,-0.0079,0.0029,-0.17
reg.hmm_side,reg,rng,16,239869,0.1108,-0.0011,18.73
reg.hmm_side,reg,ret,96,239869,-0.0131,0.0014,-0.44
reg.hmm_side,reg,rng,96,239869,0.3467,-0.0014,31.25
reg.hmm_bull,reg,ret,1,239869,0.0019,0.0006,0.3
reg.hmm_bull,reg,rng,1,239869,0.0902,0.0005,29.2
reg.hmm_bull,reg,ret,4,239869,0.0023,-0.0009,0.19
reg.hmm_bull,reg,rng,4,239869,0.0287,0.0023,5.51
reg.hmm_bull,reg,ret,16,239869,0.0012,-0.0003,0.05
reg.hmm_bull,reg,rng,16,239869,-0.0986,-0.0008,-16.52
reg.hmm_bull,reg,ret,96,239869,0.0106,0.0013,1.03
reg.hmm_bull,reg,rng,96,239869,-0.2574,-0.0009,-26.96
reg.hmm_drift,reg,ret,1,239869,-0.005,0.0029,-0.63
reg.hmm_drift,reg,rng,1,239869,-0.0157,-0.0027,-38.08
reg.hmm_drift,reg,ret,4,239869,-0.0087,-0.0015,-0.3
reg.hmm_drift,reg,rng,4,239869,-0.0288,-0.0009,-15.3
reg.hmm_drift,reg,ret,16,239869,-0.0086,0.0025,-0.17
reg.hmm_drift,reg,rng,16,239869,-0.0481,-0.0001,9.49
reg.hmm_drift,reg,ret,96,239869,0.0043,-0.0004,0.42
reg.hmm_drift,reg,rng,96,239869,-0.07,0.0036,24.79
str.body_share,str,ret,1,239869,0.0017,0.0018,0.84
str.body_share,str,rng,1,239869,0.0346,0.0002,11.79
str.body_share,str,ret,4,239869,0.0038,0.0004,1.05
str.body_share,str,rng,4,239869,0.0103,0.003,1.89
str.body_share,str,ret,16,239869,0.0016,0.0025,0.37
str.body_share,str,rng,16,239869,-0.0019,0.0018,-2.76
str.body_share,str,ret,96,239869,0.0042,-0.002,1.53
str.body_share,str,rng,96,239869,-0.0098,0.0014,-4.38
str.close_pos,str,ret,1,239869,-0.0458,-0.0015,-6.37
str.close_pos,str,rng,1,239869,-0.0163,-0.0043,-7.49
str.close_pos,str,ret,4,239869,-0.0266,0.0025,-4.36
str.close_pos,str,rng,4,239869,-0.0142,0.0016,-6.32
str.close_pos,str,ret,16,239869,-0.014,0.0029,-3.98
str.close_pos,str,rng,16,239869,-0.0116,-0.0037,-5.58
str.close_pos,str,ret,96,239869,0.0,0.0027,0.28
str.close_pos,str,rng,96,239869,-0.0084,0.0018,-3.61
str.upper_wick,str,ret,1,239869,0.0012,-0.0014,1.09
str.upper_wick,str,rng,1,239869,-0.0221,0.0045,-6.57
str.upper_wick,str,ret,4,239869,-0.0055,-0.0002,-0.07
str.upper_wick,str,rng,4,239869,-0.0063,-0.004,-0.17
str.upper_wick,str,ret,16,239869,-0.0036,0.0006,0.75
str.upper_wick,str,rng,16,239869,-0.0002,0.0019,1.54
str.upper_wick,str,ret,96,239869,-0.0018,-0.0009,-0.19
str.upper_wick,str,rng,96,239869,0.0032,-0.0031,2.6
str.rng_atr,str,ret,1,239869,-0.0009,0.0009,0.21
str.rng_atr,str,rng,1,239869,0.4213,0.0,109.91
str.rng_atr,str,ret,4,239869,-0.0042,0.0009,0.1
str.rng_atr,str,rng,4,239869,0.3494,0.0011,86.82
str.rng_atr,str,ret,16,239869,-0.0106,-0.0008,-0.96
str.rng_atr,str,rng,16,239869,0.2131,0.0003,46.1
str.rng_atr,str,ret,96,239869,-0.0019,-0.0013,-0.51
str.rng_atr,str,rng,96,239869,0.0122,-0.0007,-3.37
str.gap_atr,str,ret,1,239869,-0.0035,-0.0022,-1.6
str.gap_atr,str,rng,1,239869,-0.0053,-0.0023,-1.8
str.gap_atr,str,ret,4,239869,0.001,0.0016,-2.38
str.gap_atr,str,rng,4,239869,-0.006,0.0016,-1.9
str.gap_atr,str,ret,16,239869,0.0023,-0.0004,-1.49
str.gap_atr,str,rng,16,239869,-0.0065,0.0033,-3.33
str.gap_atr,str,ret,96,239869,0.0002,0.0013,-2.69
str.gap_atr,str,rng,96,239869,-0.0106,-0.0045,-3.95
str.dir_run,str,ret,1,239867,-0.0399,0.0009,-3.85
str.dir_run,str,rng,1,239867,-0.0308,-0.0003,-11.08
str.dir_run,str,ret,4,239867,-0.0413,0.0012,-3.36
str.dir_run,str,rng,4,239867,-0.0275,0.0001,-6.58
str.dir_run,str,ret,16,239867,-0.0155,-0.0009,-0.76
str.dir_run,str,rng,16,239867,-0.0234,0.0002,-5.02
str.dir_run,str,ret,96,239867,0.0044,0.0004,0.78
str.dir_run,str,rng,96,239867,-0.0111,-0.001,-1.68
str.rng_z96,str,ret,1,239838,0.0019,0.0035,0.71
str.rng_z96,str,rng,1,239838,0.3157,0.0005,94.73
str.rng_z96,str,ret,4,239838,0.0001,0.0021,0.66
str.rng_z96,str,rng,4,239838,0.2107,-0.0014,58.74
str.rng_z96,str,ret,16,239838,-0.0028,-0.0015,0.06
str.rng_z96,str,rng,16,239838,0.0061,0.0003,5.11
str.rng_z96,str,ret,96,239838,-0.0038,0.0005,-0.88
str.rng_z96,str,rng,96,239838,-0.2261,-0.0052,-40.09
clk.mod,clk,ret,1,239869,0.0071,0.0001,3.85
clk.mod,clk,rng,1,239869,-0.3184,0.0023,-106.23
clk.mod,clk,ret,4,239869,0.0136,0.0017,4.5
clk.mod,clk,rng,4,239869,-0.368,-0.0018,-79.78
clk.mod,clk,ret,16,239869,0.029,-0.0007,4.65
clk.mod,clk,rng,16,239869,-0.3975,0.0009,-60.08
clk.mod,clk,ret,96,239869,0.0039,-0.0005,0.67
clk.mod,clk,rng,96,239869,-0.0923,-0.002,-11.58
clk.dow,clk,ret,1,239869,0.0069,0.001,1.96
clk.dow,clk,rng,1,239869,-0.0111,-0.0028,-3.28
clk.dow,clk,ret,4,239869,0.0127,0.004,2.28
clk.dow,clk,rng,4,239869,-0.0119,0.0028,-0.33
clk.dow,clk,ret,16,239869,0.0198,0.0009,1.93
clk.dow,clk,rng,16,239869,-0.0025,-0.0047,2.3
clk.dow,clk,ret,96,239869,0.0254,-0.0008,1.04
clk.dow,clk,rng,96,239869,-0.0458,-0.0003,-2.36
clk.is_rth,clk,ret,1,239869,0.0032,-0.0009,0.44
clk.is_rth,clk,rng,1,239869,-0.1316,0.0,-49.1
clk.is_rth,clk,ret,4,239869,0.0051,0.0012,1.02
clk.is_rth,clk,rng,4,239869,-0.2283,-0.0004,-52.42
clk.is_rth,clk,ret,16,239869,0.014,0.0013,3.06
clk.is_rth,clk,rng,16,239869,-0.3989,0.0032,-60.21
clk.is_rth,clk,ret,96,239869,0.0037,-0.0021,0.45
clk.is_rth,clk,rng,96,239869,-0.3575,-0.0015,-48.43
ffd.z96,ffd,ret,1,239439,-0.0334,0.0005,1.34
ffd.z96,ffd,rng,1,239439,-0.0128,0.0007,-8.21
ffd.z96,ffd,ret,4,239439,-0.0304,0.0024,2.84
ffd.z96,ffd,rng,4,239439,-0.0158,0.0007,-6.61
ffd.z96,ffd,ret,16,239439,-0.0061,-0.0017,3.34
ffd.z96,ffd,rng,16,239439,-0.0172,0.0024,-3.88
ffd.z96,ffd,ret,96,239439,-0.0082,0.0003,0.68
ffd.z96,ffd,rng,96,239439,-0.0014,-0.0018,-0.1
ffd.slope,ffd,ret,1,239446,-0.0323,-0.0012,-0.84
ffd.slope,ffd,rng,1,239446,-0.0282,-0.0016,-11.35
ffd.slope,ffd,ret,4,239446,-0.0336,0.0007,-0.22
ffd.slope,ffd,rng,4,239446,-0.0301,-0.0004,-8.44
ffd.slope,ffd,ret,16,239446,-0.0139,-0.0005,0.45
ffd.slope,ffd,rng,16,239446,-0.0237,-0.0045,-4.0
ffd.slope,ffd,ret,96,239446,0.0025,0.0017,0.67
ffd.slope,ffd,rng,96,239446,-0.0021,-0.0005,-0.76
anm.ae_err,anm,ret,1,239853,0.0038,0.0013,1.62
anm.ae_err,anm,rng,1,239853,0.0022,-0.0013,2.49
anm.ae_err,anm,ret,4,239853,0.0055,0.0014,3.12
anm.ae_err,anm,rng,4,239853,0.016,-0.0003,4.2
anm.ae_err,anm,ret,16,239853,0.0082,-0.001,2.48
anm.ae_err,anm,rng,16,239853,0.032,0.0007,5.5
anm.ae_err,anm,ret,96,239853,0.0114,-0.0007,1.89
anm.ae_err,anm,rng,96,239853,0.0456,-0.0008,7.74
anm.iso,anm,ret,1,239853,0.0064,-0.0027,2.41
anm.iso,anm,rng,1,239853,0.1324,0.0047,46.53
anm.iso,anm,ret,4,239853,0.0117,-0.0026,2.95
anm.iso,anm,rng,4,239853,0.0869,-0.0003,26.26
anm.iso,anm,ret,16,239853,0.0117,0.0002,2.24
anm.iso,anm,rng,16,239853,0.012,-0.0012,-0.82
anm.iso,anm,ret,96,239853,0.0062,0.0007,0.07
anm.iso,anm,rng,96,239853,-0.0945,-0.0034,-21.66
anm.mahal,anm,ret,1,239853,0.008,-0.0009,1.95
anm.mahal,anm,rng,1,239853,0.0962,0.0003,23.44
anm.mahal,anm,ret,4,239853,0.0123,0.0029,2.43
anm.mahal,anm,rng,4,239853,0.0583,-0.0001,15.41
anm.mahal,anm,ret,16,239853,0.013,-0.0009,2.18
anm.mahal,anm,rng,16,239853,0.0019,-0.0016,-4.79
anm.mahal,anm,ret,96,239853,0.0051,0.0002,0.02
anm.mahal,anm,rng,96,239853,-0.0955,0.0037,-19.53
anm.joint_z,anm,ret,1,239869,0.0071,0.0036,1.68
anm.joint_z,anm,rng,1,239869,0.0795,0.0017,54.44
anm.joint_z,anm,ret,4,239869,0.0102,0.0003,1.92
anm.joint_z,anm,rng,4,239869,0.0488,-0.0032,34.27
anm.joint_z,anm,ret,16,239869,0.0081,-0.0,1.59
anm.joint_z,anm,rng,16,239869,-0.0053,0.0006,-2.91
anm.joint_z,anm,ret,96,239869,0.0047,-0.0,0.09
anm.joint_z,anm,rng,96,239869,-0.065,0.0035,-31.75
anm.ae_pct500,anm,ret,1,239754,0.0023,-0.0011,1.2
anm.ae_pct500,anm,rng,1,239754,0.0034,0.0013,3.35
anm.ae_pct500,anm,ret,4,239754,0.0023,0.0026,1.81
anm.ae_pct500,anm,rng,4,239754,0.0164,0.0009,5.42
anm.ae_pct500,anm,ret,16,239754,0.0018,-0.0019,0.62
anm.ae_pct500,anm,rng,16,239754,0.0356,-0.0032,8.64
anm.ae_pct500,anm,ret,96,239754,-0.0016,0.0046,-0.81
anm.ae_pct500,anm,rng,96,239754,0.0459,-0.0016,13.3
vd.tod_ratio,vd,ret,1,238029,0.0026,-0.0025,-0.09
vd.tod_ratio,vd,rng,1,238029,0.101,0.0013,27.07
vd.tod_ratio,vd,ret,4,238029,0.0036,0.0019,-0.23
vd.tod_ratio,vd,rng,4,238029,0.0317,0.0036,3.28
vd.tod_ratio,vd,ret,16,238029,-0.0089,-0.0007,-1.2
vd.tod_ratio,vd,rng,16,238029,-0.0542,0.0019,-9.85
vd.tod_ratio,vd,ret,96,238029,-0.0232,-0.0001,-1.67
vd.tod_ratio,vd,rng,96,238029,-0.1448,-0.0032,-9.62
vd.z96,vd,ret,1,239838,-0.0008,0.0008,-0.91
vd.z96,vd,rng,1,239838,0.3579,0.0013,111.8
vd.z96,vd,ret,4,239838,-0.0036,0.001,-1.03
vd.z96,vd,rng,4,239838,0.26,0.0041,59.37
vd.z96,vd,ret,16,239838,-0.0087,-0.0021,-1.1
vd.z96,vd,rng,16,239838,0.0524,-0.0002,8.2
vd.z96,vd,ret,96,239838,-0.0032,-0.0012,-1.25
vd.z96,vd,rng,96,239838,-0.2255,0.0017,-36.72
vd.per_range,vd,ret,1,239869,-0.004,-0.0008,1.3
vd.per_range,vd,rng,1,239869,0.0268,0.0023,-2.22
vd.per_range,vd,ret,4,239869,-0.0077,-0.0023,1.51
vd.per_range,vd,rng,4,239869,-0.0212,-0.0036,-1.94
vd.per_range,vd,ret,16,239869,-0.0185,0.0003,1.61
vd.per_range,vd,rng,16,239869,-0.1195,0.0028,0.18
vd.per_range,vd,ret,96,239869,-0.0351,-0.0025,-0.62
vd.per_range,vd,rng,96,239869,-0.2521,0.0018,3.82
vd.trend24,vd,ret,1,239838,0.0016,0.0033,-0.47
vd.trend24,vd,rng,1,239838,-0.0744,0.0001,-25.79
vd.trend24,vd,ret,4,239838,0.003,0.0039,-0.15
vd.trend24,vd,rng,4,239838,-0.1271,-0.002,-25.46
vd.trend24,vd,ret,16,239838,0.0116,0.0022,1.59
vd.trend24,vd,rng,16,239838,-0.2725,-0.0006,-36.41
vd.trend24,vd,ret,96,239838,0.0007,-0.0023,-0.76
vd.trend24,vd,rng,96,239838,-0.4201,0.0004,-45.67
