draw,cost_rt,slip,R_res,R_lck
92,0.45677245478653833,0.023458409472254096,-0.06705476310465243,0.1415469493902757
93,0.16502478886324132,0.024739963376194753,0.017522333549923157,0.1926684131412356
94,0.3232354098677069,0.09482350580758406,-0.06854544609849966,0.1207777113732856
95,0.465317993568476,0.0005568032398927336,-0.060903959800104254,0.1455902512395675
96,0.4228642681852105,0.06888187604956933,-0.08729009737115821,0.10969153675349272
97,0.33154962180541814,0.0755481482461907,-0.06363595156760261,0.12401115980568458
98,0.3580787420635062,0.030094668021724114,-0.040823678394709365,0.15732431411743614
99,0.5699762295164189,0.030911035519211472,-0.10277299381918749,0.11981993236208686
100,0.5611499115785216,0.002138038165188594,-0.08968336200476328,0.1282284816054327
101,0.35025450527983437,0.011338619316597477,-0.031274841601183205,0.16331388712424832
102,0.4395643085416362,0.008852101219963405,-0.05649736982856783,0.14812957212432448
103,0.3756923249813779,0.037103418734668714,-0.05692499587610389,0.13954689927608394
104,0.15682689798649857,0.07441462570727335,-0.013191720372853833,0.15476192917590662
105,0.22208526614173177,0.06473181293639639,-0.028068680184717126,0.1523097443104287
106,0.28642381973715825,0.02197971483001957,-0.016783607610234154,0.1719522008712908
107,0.16582351006978893,0.03284842774483009,0.005706227943903407,0.19048349249110624
108,0.3683289225585267,0.013110206948097792,-0.037258422550867955,0.15968245873092482
109,0.19554133710492466,0.03205513071417511,-0.002611836943194987,0.18545262951055166
110,0.5895823183436308,0.0676970399849714,-0.1346888680259564,0.08085673890002205
111,0.4681640060366353,0.04903951642034642,-0.09294924375580832,0.11305075605942147
112,0.32948611016972384,0.003696338039189351,-0.022180985061925576,0.16888114013557504
113,0.4932440362156649,0.06982234466206953,-0.10781943894977966,0.09717761302348209
114,0.5579982923239811,0.03040339673502872,-0.0991048967431303,0.12204896103420539
115,0.25498778097104025,0.045665081337765034,-0.030023501072707015,0.1512717077167142
116,0.565803123599387,0.03212719081778666,-0.11029190403468007,0.12026685590184247
117,0.39522899844076115,0.0005372890648869477,-0.0402752529411682,0.1580157909444171
118,0.3904281384229414,0.011394542997294933,-0.04306797848174634,0.15619752807262213
119,0.17234158267001679,0.07717201757882503,-0.018725389043633012,0.15136795250249163
120,0.4897949501758875,0.0789687674549834,-0.11015533462363594,0.0956046462920172
121,0.38532171084706485,0.07307173891257815,-0.07809436234938104,0.11523324725256053
122,0.31357701775297675,0.05319666452290102,-0.049898537686688435,0.13914032564984752
123,0.16862414659614602,0.07411010831226227,-0.01644771747929119,0.15278035462966566
124,0.49095293315574434,0.050543093805945884,-0.1000890662461678,0.10869524226148741
125,0.3654300733280833,0.06796475975528742,-0.07046986548729822,0.11994376103045537
126,0.307196067886311,0.06473752417508548,-0.05251986510019029,0.13743282582734212
127,0.4236918519693874,0.07026764351433963,-0.08804244871030037,0.10921341481707651
128,0.5110759104158679,0.05426641924718293,-0.1072651567028484,0.10428204939395745
129,0.5166546545746781,0.0540591182110063,-0.108798083102448,0.10335403340458915
130,0.5287800470752376,0.08812072642470128,-0.12456573522836323,0.086656276392042
131,0.19101713408416435,0.06251390884485902,-0.018262097944197586,0.15829141024130527
132,0.5035872418004836,0.04139344877686733,-0.09561283908345324,0.10866433171707648
133,0.3391107052038416,0.021468426216344372,-0.031961428899567594,0.16278459089886468
134,0.44917823031511184,0.06504014471148488,-0.09341767636430383,0.10601866696830317
135,0.19994392982612344,0.09936288769691042,-0.038608017237842934,0.14107029590137168
136,0.2807196290650322,0.050271510916139885,-0.0392749367395221,0.1456184800679936
137,0.1815416713382472,0.06657877499567488,-0.017157337332656588,0.15240774899509832
138,0.2046544423978104,0.005006403223988255,0.013967499905128545,0.19065626376407654
139,0.2862329213371062,0.019860071084799702,-0.01589131902132745,0.17251220707558515
140,0.5571309068904083,0.022850992233898262,-0.09610654231904753,0.12399469349825741
141,0.45233721373361635,0.05050693212414858,-0.08892474633823394,0.11547369484009637
142,0.47922432845087953,0.021712966500681732,-0.07295240223307024,0.13800816383623324
143,0.2722967042355554,0.004084523935788043,-0.005530752836704481,0.17891168642847644
