draw,n_res,R_res,pf_res,n_lck,R_lck,pf_lck
45,452,-0.07679352696645501,0.8537488327132307,255,0.11868753675372744,1.2604755225252124
46,281,-0.00417105515287751,0.9921311056895212,163,0.053384875918268127,1.1096861395187507
47,358,-0.06425754454334975,0.873900196464439,203,0.1344985171350444,1.3048326783086923
48,393,-0.04961275102788159,0.9014239816169907,219,0.07397821781883784,1.1610036488212379
49,452,-0.1074721083884026,0.8008383695753203,257,0.14795831601850803,1.3209915610287104
50,488,-0.149390389900818,0.7246155170779164,274,0.11969294625595304,1.2566086355192327
51,299,-0.008178381975165122,0.9842340716843188,163,0.0020534198447011787,1.0041212534303334
52,451,-0.12258627902207393,0.7699606666869451,253,0.13932772423513173,1.317810322151942
53,301,-0.030888789314049685,0.9413872615406352,178,0.10578261069689736,1.231255741597217
54,401,-0.029888409109431434,0.9449358918757311,221,0.08276584161188205,1.1681727316394688
55,374,-0.04313426689155359,0.9189894143913865,206,0.04049756868900389,1.0826381034274362
56,292,-0.029143459269536178,0.9446355819357503,160,-0.021433074708197775,0.9582056977051231
57,334,-0.046959558235313066,0.9114294560175144,190,0.02734233681237864,1.0549880022595457
58,389,-0.06950197904936675,0.8737862536965165,219,0.1680621911996597,1.3780567141745128
59,331,-0.10301519714590893,0.8076378564612623,184,0.12306576543246195,1.2765729582419012
60,467,-0.11024217730582091,0.8034320393733014,269,0.13375988683997928,1.2780530574853928
61,297,0.025236862135510324,1.0511628376739992,170,0.01998329787579007,1.042617811768196
62,323,-0.06886953085670645,0.8711438104846309,186,0.11289266802164176,1.2629171775414907
63,325,0.027311218059708077,1.0529269622373514,190,0.09825403102271443,1.2145622995053749
64,368,-0.06484021898612796,0.8827720296019659,198,0.08253026619107894,1.164263195624593
65,364,-0.040913555796343475,0.9196526036097556,200,0.16254752519173582,1.3618093716127582
66,307,-0.05596951678112151,0.8926445749090601,171,0.07915229146145125,1.1752390219727729
67,438,-0.06958727720645895,0.8760868340727579,247,0.14723450689518905,1.3106840191016151
68,363,-0.08598556486126291,0.8382387286235913,217,0.15390817801254542,1.3591539257879082
69,271,-0.007486392079894094,0.9857491551700608,170,0.08990534417496777,1.1926234614766729
70,408,-0.09173321495950443,0.8306879062481903,226,0.10253961535552653,1.2221622249376085
71,459,-0.0944590981363641,0.8217846039045132,257,0.11305136702276784,1.2450507814699199
72,473,-0.12020024431079118,0.7856179375976414,271,0.1081160581574671,1.2255916646050085
73,312,-0.05993326069747053,0.8834605406223294,180,0.06615992338402336,1.1490235499863848
74,436,-0.06139304051093155,0.8839465388837248,239,0.09002736951212546,1.1866202459380424
75,315,-0.028354571551471017,0.9486314415149845,182,0.08926234994015303,1.179258542605
76,380,-0.04381295248223545,0.9207807978900309,215,0.07787134086166068,1.1542056396501859
77,351,-0.03387171894307245,0.9319487246617273,197,0.03676840869875797,1.0786982702273953
78,316,-0.07066365438166972,0.8693872632861149,175,0.027284382647421505,1.054334931964713
79,299,-0.012839892544529592,0.9752905914046787,176,0.1103742076536247,1.2399828520089202
80,316,-0.044265637894333874,0.9176806407742365,183,0.09900360406151909,1.2214921146012332
81,353,-0.11685330233941314,0.793326623533579,203,0.14085593878169422,1.3029467392662155
82,406,-0.08204065501593406,0.8374692938682337,222,0.06596898505197617,1.1459408082080207
83,329,-0.03187338105610076,0.9405837613412465,193,0.09986286837831851,1.211577777556769
84,358,-0.10247905104884875,0.8115410395416501,200,0.10986216170149272,1.238084446277521
85,327,-0.02885517100439225,0.9436949450108467,184,0.0499950407387687,1.1086581981179902
86,471,-0.10859395178136425,0.8001768009230057,262,0.1368902741277988,1.3047014159073436
87,279,-0.03583000242417331,0.9325615601812127,158,-0.007310944475466399,0.9852126956512839
88,330,-0.04182565002933782,0.9228493909424182,190,0.13614854677560184,1.3026730911805116
89,402,-0.1553975185308072,0.7299653798623187,228,0.20088968254824924,1.4444676550589628
90,340,-0.02685722836514459,0.9499308613582873,198,0.1117092687079577,1.248507595186819
91,425,-0.1229434459176525,0.7679991494773514,243,0.1651773518919487,1.3954588648042
92,406,-0.0346660203148622,0.9348897038454711,228,0.1308876084790427,1.282452287175415
93,445,-0.08936686680932218,0.838483078530838,249,0.12247991173627579,1.2508049741464462
94,254,0.06388536896369391,1.1266669444389517,151,0.04002381197254557,1.0775859835212152
95,366,-0.04824155299849496,0.9106179967307896,216,0.10030327242930666,1.2122608509678507
96,441,-0.114731204271367,0.7978666035365547,261,0.22661501879028173,1.4972287868098906
97,265,-0.010228992250871332,0.9801355740367208,160,0.06510450348796976,1.1422235146171804
98,329,-0.04481232896112075,0.9187437738161844,178,0.04180811610831948,1.0836956682504664
99,297,0.03178173829842966,1.0610799878047863,167,0.06718240277251435,1.1379333214921403
100,394,-0.06539259738954499,0.8728659965158493,222,0.16631855197751333,1.395651940691517
101,354,-0.05234040752392504,0.8987105983307673,202,0.16665884446389603,1.3864040441159207
102,373,-0.04134524452062342,0.9248075354058213,220,0.08171919644632325,1.1632914897983586
103,453,-0.0849147270733587,0.8408481287183569,257,0.10042511794156622,1.2106397176437291
104,299,-0.0479519644754078,0.9134822151919735,175,0.14261986189348835,1.308660487336067
105,316,-0.035195694408250995,0.9380624202939455,184,0.10610061921179915,1.2207427093401282
106,488,-0.04744028462201243,0.9091740119533405,278,0.04616859106518444,1.096365442856012
107,419,-0.08566430691572018,0.8480186436906416,250,0.13553895449900233,1.2852756647800034
108,308,-0.040468247787186766,0.9266373890223847,174,0.05074934008535352,1.1077090306411075
109,455,-0.12369604255170204,0.7646787745428485,254,0.11093597085060071,1.2476033867607317
110,429,-0.09165617943582845,0.822911629500869,235,0.14167308617529267,1.3157316675098039
111,388,-0.07672828916998373,0.8490605895424158,223,0.13228502555789345,1.3093718698276764
112,275,0.006421557225336485,1.0120736853811385,160,0.029428134343673234,1.0583456307288996
113,470,-0.11656924234341656,0.7957082371108483,261,0.1264845677148534,1.2619832618888038
114,342,-0.04643474847392534,0.9113805966656362,196,0.07250787570374571,1.1503231341986746
115,408,-0.06886128400869597,0.8709527336331937,227,0.07579948872904922,1.1611575189169352
116,353,-0.08084316318762277,0.8480732708988824,195,0.059715628835306234,1.1306175759277004
117,356,-0.06924951861988414,0.8672993648219145,194,0.07534789998071305,1.1596124363155926
118,278,-0.05530417232064586,0.8978754109640376,162,0.08418114814758558,1.1808079674011218
119,393,-0.01661398499772862,0.9676325093697784,217,0.13610605899221226,1.3031121432848807
120,301,-0.027344163712192376,0.9495181310274644,175,0.023205261506482153,1.0461233925595037
121,428,-0.07122393176158993,0.8703919792554445,238,0.06507009082180792,1.1313696889196418
122,368,-0.12379635544302225,0.774198696640647,207,0.08604379791858457,1.1906580182069604
123,280,0.04490105055538531,1.0853477616737806,170,0.08998906519908519,1.19018601246022
124,433,-0.1390043610091032,0.7499332575505334,240,0.1306987242752558,1.2752299978272057
125,302,-0.03906675788969777,0.9291047171188609,169,0.06772609087335825,1.1345478226100385
126,282,0.04388940133471134,1.084091896874474,174,0.17175516619732795,1.3769857125997567
127,367,-0.038690223144253494,0.9260160516671605,214,0.118080269741134,1.2550448594753394
128,302,-0.0497594810192691,0.9074406072145067,174,0.0911385502378673,1.1938821448518773
129,352,-0.11237405215007627,0.7990207678079738,198,0.06740177882209844,1.1467259064993778
130,419,-0.06992505672706759,0.8722434973892734,238,0.05760409849140563,1.1165466214346016
131,444,-0.07226432905599466,0.8602797724628116,249,0.13780757514536782,1.3042925941167902
132,357,-0.05746449426723409,0.8905500142058409,205,0.13633951126725008,1.3174882299442727
133,332,-0.04978286246331339,0.9046584735585931,186,0.13646255630354834,1.3105185148300715
134,433,-0.08157371676544753,0.8440152303741398,246,0.06025565120767741,1.1273783334958505
135,309,-0.016904512966371996,0.9676402447451549,179,-0.0008096459938664826,0.9983652373520262
136,303,-0.09726411336677795,0.8226056601772753,173,0.10625617308622573,1.2302062496463195
137,367,-0.09867567692584459,0.8292338813402497,204,0.13065067548206205,1.2716367388070258
138,386,-0.08200321047313253,0.8470082239834421,222,0.184039520045549,1.421668257026438
139,264,0.07918510725968207,1.1639692515052111,157,0.1043870294214451,1.2374836894955878
140,315,-0.014692005150869157,0.9716564282958258,176,-0.053403761435872464,0.8956691016911363
141,315,-0.02471286238023935,0.9532289428198604,179,0.09454321210644777,1.2040304323309743
142,497,-0.12625343435768555,0.7722509014871017,283,0.09237838718091428,1.1948244723926296
143,357,-0.053724381728404505,0.8953332649553021,205,0.1514853585243327,1.3453172720929274
144,325,-0.13747105341270147,0.7571665685507822,183,0.10731401584309264,1.2324246928692424
145,299,-0.033926586982896294,0.9359101256387329,168,-0.056191627318487765,0.8900497547274631
146,400,-0.025188119230365076,0.9526226223278407,231,0.09008774570936064,1.1883510423757135
147,387,-0.05553975885922653,0.8975774668461468,219,0.13545461070366954,1.2800535356334082
148,264,0.05767714894398806,1.11405565730942,152,-0.00825651124749438,0.9833931109374556
149,322,-0.032877423911750046,0.9373421923743612,185,0.09372510515013749,1.200045062299794
150,333,-0.02617477652704119,0.9499230821205304,192,0.0934663937937158,1.208622333051682
151,383,-0.07272979214168131,0.8584745858610567,216,0.1285809157728831,1.2934450671258162
152,397,-0.07466200630218676,0.8577457622910261,228,0.19914921782222203,1.4616767162011868
153,319,-0.050588148671954145,0.9014638335694225,185,0.04709022712043418,1.1035848450016885
154,275,-0.0007730589244941396,0.9984842852570844,150,-0.06285064660069266,0.8771327696631117
155,374,-0.05112866161096578,0.9045092201969109,207,0.09211749396701048,1.1917260195028616
156,396,-0.06885145722237107,0.8689099921073346,226,0.1879379106002959,1.4230399214959013
157,355,-0.0454768557277389,0.9105994427410847,203,0.15175228582028263,1.3475332330005556
158,339,-0.10219702507218585,0.8114617314646767,189,0.14512160621699166,1.3406645471667629
159,427,-0.08684066039255856,0.8469399564857616,234,0.1256081423798964,1.251132195552892
160,323,-0.09886336451995052,0.8197274393820572,180,0.11332105011278837,1.2465138417784962
161,437,-0.11597242451474321,0.7912726324331045,255,0.151991190506753,1.3354733526426255
162,373,-0.036047410434113206,0.9289865368709287,215,0.06504082248161498,1.142182996676997
163,272,0.04996574304853672,1.0989565997738984,156,0.05607270356922334,1.1235110388432388
164,389,-0.058991781433601065,0.8943096769172063,228,0.10054814113955268,1.1993962686723953
165,344,-0.05343360351643909,0.9015527623412046,199,0.11181637912549391,1.239141923083535
166,356,-0.028462238679116934,0.9442180166963753,206,0.18464922207088535,1.4299460351739528
167,384,-0.034944509088467225,0.9314959758864001,211,0.0038799720608532254,1.0081864057091747
168,279,-0.02069838739149757,0.9597849354067013,172,0.134162977349649,1.3052881700046124
