ticks,draw,n_res,R_res,pf_res,n_lck,R_lck,pf_lck
0.5,61,457,-0.06211105866007855,0.8867462862302221,246,0.11688447225803794,1.2510276317018973
0.5,62,462,0.00867815094930185,1.0167680441840055,247,0.1402211724191963,1.307324611055712
0.5,63,461,-0.036657029437696484,0.9302404533073289,264,0.10996748277897336,1.2322892050035275
0.5,64,456,-0.03918916994571597,0.9276261422095683,250,0.12783447031574177,1.275567999280756
0.5,65,453,-0.06758612175805544,0.8762329968919399,251,0.12028567287157534,1.2621225604461868
0.5,66,455,-0.021400437889819122,0.9593798703366413,247,0.12439481595481477,1.2690096294073052
0.5,67,464,-0.05367583109251774,0.8997454548438477,250,0.08948114162045948,1.1904963329357197
0.5,68,460,-0.07039121108793485,0.8719353399893262,248,0.09983629752619966,1.214136568811753
0.5,69,454,-0.05183024509979445,0.9047183809639309,254,0.1078030235247256,1.2313059653101737
0.5,70,461,0.01407111424692622,1.02728875114362,248,0.17109875321624302,1.3800287056432492
0.5,71,461,-0.07949239586366312,0.854962755026987,260,0.11334336899032176,1.2457656235396393
0.5,72,460,-0.07100899217653758,0.8700678323887155,246,0.0852102476474198,1.1828252415698717
0.5,73,449,-0.036376770753171125,0.9317565536627812,245,0.16385941350168676,1.3629654634490773
0.5,74,458,-0.06403342354519886,0.8809494266287212,257,0.11950709263753655,1.2590407840055284
0.5,75,473,-0.05330041290179665,0.903179108102354,252,0.10133851819936966,1.2181175161192068
0.5,76,451,-0.042196478244232734,0.9210636179407122,251,0.164777695990772,1.370758606470251
0.5,77,458,-0.0584922745221079,0.8892322169133717,254,0.11129386566073264,1.2410132019684328
0.5,78,447,-0.07345088715533239,0.8653712127256686,252,0.12583121781502934,1.2701156976521084
0.5,79,449,-0.04059078299779841,0.924452738618401,261,0.14993659658937647,1.3298460553690625
0.5,80,460,-0.1067496654455059,0.8092450007230605,246,0.10532208009190919,1.2291681832084251
0.5,81,457,-0.05717036343835076,0.8939986833466608,254,0.15414140950806174,1.3381357125961073
0.5,82,456,-0.0672263409547323,0.8793380206448198,254,0.12286866932503447,1.2679587083221648
0.5,83,451,-0.07579117132344745,0.8614365379370186,255,0.1278380699369538,1.2776556003355501
0.5,84,450,-0.06179782023478249,0.8847610054311842,251,0.09235885045862852,1.1963932703093942
0.5,85,461,-0.05310873919262313,0.9012486733252699,250,0.09163313839881426,1.1995368228630832
0.5,86,444,-0.008215042306429544,0.9842534160040217,255,0.12970484652932196,1.2826362380591168
0.5,87,457,-0.027530426060175275,0.9481075991406317,249,0.12317215308711091,1.2711700036192708
0.5,88,462,-0.07189259269187001,0.8692827434499965,256,0.10293748229006536,1.224029060063249
0.5,89,452,-0.05447300975683276,0.8990058859193668,253,0.15235953486916723,1.3306039789970494
0.5,90,459,-0.05667542456954853,0.8944883490492507,247,0.0911334701667619,1.196207102385163
0.5,91,463,-0.04345537872188603,0.9205099128413219,261,0.11198527568560325,1.245163442515569
0.5,92,455,-0.04389046582410984,0.917982706763456,253,0.12723058860006384,1.2766847514894193
0.5,93,456,-0.08645369864428232,0.8391183042658729,249,0.14253841285254742,1.3085729880571138
0.5,94,456,-0.06641660742263517,0.8764464120868952,246,0.15610692573794763,1.3442358135571313
0.5,95,468,-0.05105976391815807,0.9048295232544101,248,0.13776462222917082,1.3014508358346957
0.5,96,447,-0.05398137656762345,0.898545402904582,250,0.11688003838155654,1.253965793456017
0.5,97,449,-0.07032402030431117,0.8725243663334554,248,0.1482349776990344,1.335142139522927
0.5,98,461,-0.08183860671413096,0.8492452274540212,254,0.13416506678727666,1.2924630877864696
0.5,99,452,-0.05242402891458164,0.9028980716598647,252,0.1590559956128033,1.3559361385549746
0.5,100,448,-0.06126918330186678,0.8861994262552338,253,0.11172666728006928,1.2439013823144456
0.5,101,461,-0.06198298005340546,0.8848093739141438,251,0.1233727266959893,1.2731751467951606
0.5,102,459,-0.05504024864729385,0.897387712538337,255,0.11497237543805056,1.2483412964217262
0.5,103,454,-0.08134455701816841,0.8530170213311177,246,0.1146836444700533,1.2504085691836062
0.5,104,452,-0.019420416517384683,0.9630897048192169,245,0.10867990637900501,1.234968211452
0.5,105,454,-0.05919561075433926,0.890363680502343,248,0.10626615649233516,1.2236884278039795
0.5,106,460,-0.05055972581593333,0.9048913583392926,255,0.13631809253864252,1.2960940860013563
0.5,107,465,-0.05730922045337677,0.8922675824158894,248,0.08460471761844873,1.1808780872637303
0.5,108,465,-0.0846863256385116,0.8429955476846404,253,0.12266487828118887,1.2670562594371244
0.5,109,449,0.006057258489911773,1.0114942139682035,254,0.1788932663327778,1.4061229691560984
0.5,110,464,-0.07263520267292513,0.8678852273471412,253,0.1092631121012232,1.235257158609124
0.5,111,461,-0.07527043370212719,0.8611578604746787,250,0.12288755897533651,1.2674223990048747
