trend_n,trend_t,fast,slow,n,gross,exp,ctrl,excess,z,p,wr
144,ema,13,34,383,3.186602223695103,2.565967928023932,-0.8462267806998509,3.412194708723783,1.9382108005817884,0.03333333333333333,0.587467362924282
144,ema,13,50,383,3.186602223695103,2.565967928023932,-0.8462267806998509,3.412194708723783,1.9382108005817884,0.03333333333333333,0.587467362924282
144,ema,21,34,367,2.6990008726278343,2.075107316109964,-0.872618492508119,2.947725808618083,1.621273546717223,0.058333333333333334,0.5803814713896458
144,ema,21,50,367,2.6990008726278343,2.075107316109964,-0.872618492508119,2.947725808618083,1.621273546717223,0.058333333333333334,0.5803814713896458
144,sma,5,21,423,2.8101016178114273,2.2511688187384293,-0.8403531786999706,3.0915219974384,1.907992900053274,0.025,0.5791962174940898
144,sma,5,34,425,2.8947107869628597,2.3350503772384807,-0.7671940931231181,3.102244470361599,1.6455821300153028,0.041666666666666664,0.5811764705882353
144,sma,5,50,425,2.8947107869628597,2.3350503772384807,-0.7671940931231181,3.102244470361599,1.6455821300153028,0.041666666666666664,0.5811764705882353
144,sma,8,21,408,2.3849090666450166,1.8047000230555685,-0.7417813829738265,2.546481406029395,1.5222547098841805,0.05,0.571078431372549
144,sma,8,34,410,2.4746878032101183,1.893828315626026,-0.8449494062251358,2.7387777218511618,1.5329607838663601,0.041666666666666664,0.573170731707317
144,sma,8,50,410,2.4746878032101183,1.893828315626026,-0.8449494062251358,2.7387777218511618,1.5329607838663601,0.041666666666666664,0.573170731707317
144,sma,13,21,395,2.6047474966925126,1.9964860035672096,-0.6388092396871241,2.6352952432543337,1.4719126291396345,0.06666666666666667,0.5721518987341773
144,sma,13,34,398,2.7216716423728537,2.113469657675674,-0.730779760959855,2.8442494186355294,1.4341650304248148,0.06666666666666667,0.5753768844221105
144,sma,13,50,398,2.7216716423728537,2.113469657675674,-0.730779760959855,2.8442494186355294,1.4341650304248148,0.06666666666666667,0.5753768844221105
144,sma,21,34,382,2.2337434090146244,1.6229308699845786,-0.9364831408939744,2.559414010878553,1.3319680581924278,0.058333333333333334,0.5680628272251309
144,sma,21,50,382,2.2337434090146244,1.6229308699845786,-0.9364831408939744,2.559414010878553,1.3319680581924278,0.058333333333333334,0.5680628272251309
144,hma,5,21,308,4.724896840150978,4.22202919555346,-0.7544788706330269,4.9765080661864864,2.320668134835328,0.016666666666666666,0.5714285714285714
144,hma,5,34,308,4.724896840150978,4.22202919555346,-0.7544788706330269,4.9765080661864864,2.320668134835328,0.016666666666666666,0.5714285714285714
144,hma,5,50,308,4.724896840150978,4.22202919555346,-0.7544788706330269,4.9765080661864864,2.320668134835328,0.016666666666666666,0.5714285714285714
144,hma,8,21,291,4.3288388056179,3.7990039248184058,-0.8610962640396951,4.660100188858101,2.193787411737184,0.03333333333333333,0.563573883161512
144,hma,8,34,291,4.3288388056179,3.7990039248184058,-0.8610962640396951,4.660100188858101,2.193787411737184,0.03333333333333333,0.563573883161512
144,hma,8,50,291,4.3288388056179,3.7990039248184058,-0.8610962640396951,4.660100188858101,2.193787411737184,0.03333333333333333,0.563573883161512
144,hma,13,21,277,4.7333012795566205,4.166167884926107,-0.6007786709484243,4.766946555874531,2.2350232429254686,0.016666666666666666,0.5631768953068592
144,hma,13,34,279,4.760915436498409,4.194270453298937,-0.8721960102801677,5.066466463579105,2.2959011651682784,0.0,0.5663082437275986
144,hma,13,50,279,4.760915436498409,4.194270453298937,-0.8721960102801677,5.066466463579105,2.2959011651682784,0.0,0.5663082437275986
144,hma,21,34,262,4.024275096802476,3.4565806299602913,-0.7710078021889968,4.227588432149288,1.9184373045404624,0.03333333333333333,0.5534351145038168
144,hma,21,50,262,4.024275096802476,3.4565806299602913,-0.7710078021889968,4.227588432149288,1.9184373045404624,0.03333333333333333,0.5534351145038168
200,ema,5,21,431,3.53512007200426,2.9691824401238445,-1.1087753252461965,4.077957765370041,2.3918198197906744,0.008333333333333333,0.5962877030162413
200,ema,5,34,433,3.6148172082189785,3.048197763726041,-0.7120404055707507,3.760238169296792,2.216948736248467,0.008333333333333333,0.5981524249422633
200,ema,5,50,433,3.6148172082189785,3.048197763726041,-0.7120404055707507,3.760238169296792,2.216948736248467,0.008333333333333333,0.5981524249422633
200,ema,8,21,418,3.213070478056547,2.625836422752538,-1.0774791020409156,3.7033155247934535,2.2386388313920014,0.0,0.5909090909090909
200,ema,8,34,420,3.2967679998871864,2.7089324397870467,-0.7175225936090709,3.4264550333961177,2.1068227447814527,0.008333333333333333,0.5928571428571429
200,ema,8,50,420,3.2967679998871864,2.7089324397870467,-0.7175225936090709,3.4264550333961177,2.1068227447814527,0.008333333333333333,0.5928571428571429
200,ema,13,21,406,3.477011759053901,2.862785564184258,-0.7903281989876153,3.6531137631718735,2.016499057542342,0.008333333333333333,0.5935960591133005
200,ema,13,34,408,3.5618771428942786,2.947164066320607,-0.6304446941291048,3.5776087604497118,2.1273880558658878,0.025,0.5955882352941176
