sym,rsi,stoch,k,d,os,ob,reset,n,net,ex_crisis
US30,14,14,1,3,30,70,4,2362,-2.0544716520085635,-0.9841961360343435
US30,14,14,1,3,30,70,8,2846,-2.192373141314442,-0.6528739572158082
US30,14,14,1,3,30,70,16,3438,-1.6179081166756937,-0.38047166408034133
US30,14,14,3,3,10,90,4,950,-5.423389009771366,-1.558617354983994
US30,14,14,3,3,10,90,8,1112,-5.32183495133053,-1.3750715215257718
US30,14,14,3,3,10,90,16,1513,-3.045187828429293,0.4541263926044622
US30,14,14,3,3,20,80,4,1321,-5.661718083103301,-2.4294976326359
US30,14,14,3,3,20,80,8,1511,-4.673383546607029,-2.1590591373128123
US30,14,14,3,3,20,80,16,1920,-3.3783519277763485,-1.2980979278482088
US30,14,14,3,3,30,70,4,1565,-3.7054183825482228,-1.6793190737324142
US30,14,14,3,3,30,70,8,1722,-3.465982380981332,-1.2846710093323142
US30,14,14,3,3,30,70,16,2105,-2.26522789227393,-0.9870176833998574
US30,14,14,5,3,10,90,4,572,-0.811011411110517,-0.13141906953892188
US30,14,14,5,3,10,90,8,618,0.2506098565970388,0.21612692890990842
US30,14,14,5,3,10,90,16,895,-0.8981527430869913,-0.23957618321725532
US30,14,14,5,3,20,80,4,957,-1.9318228636230013,-0.4092999463803463
US30,14,14,5,3,20,80,8,1033,-1.3791025044302962,-0.2575090442880665
US30,14,14,5,3,20,80,16,1357,-1.9700820325099433,-1.1548471016984945
US30,14,14,5,3,30,70,4,1194,-3.0797032584900457,-1.448307827212607
US30,14,14,5,3,30,70,8,1272,-2.6078770328705962,-1.3253516988642144
US30,14,14,5,3,30,70,16,1572,-2.9217042076156017,-1.198569464325645
US30,14,21,1,3,10,90,4,1438,-2.5642987335540917,-1.2064994457331
US30,14,21,1,3,10,90,8,1849,-2.3379470441482444,-0.7180615927152135
US30,14,21,1,3,10,90,16,2547,-1.4942601938765077,-0.3395931139236126
US30,14,21,1,3,20,80,4,1758,-1.9127150493031522,-1.6109759814683922
US30,14,21,1,3,20,80,8,2208,-2.357248853108055,-1.0348167687572218
US30,14,21,1,3,20,80,16,2842,-1.965213070214632,-0.9503065118535454
US30,14,21,1,3,30,70,4,2083,-2.1202825729128296,-0.98467837158282
US30,14,21,1,3,30,70,8,2504,-2.4841774746967555,-1.0034774991566142
US30,14,21,1,3,30,70,16,3091,-1.707268567152581,-1.047952106444804
US30,14,21,3,3,10,90,4,757,-4.6646764329792845,-1.1173539565273112
US30,14,21,3,3,10,90,8,889,-4.259600353268997,-0.9306224718405695
US30,14,21,3,3,10,90,16,1225,-3.262453124244705,0.1986368496443691
US30,14,21,3,3,20,80,4,1104,-4.750266704959991,-1.3876957271406403
US30,14,21,3,3,20,80,8,1262,-3.3750903567045305,-0.8648286202376885
US30,14,21,3,3,20,80,16,1617,-2.28077769701463,-0.3627400224360037
US30,14,21,3,3,30,70,4,1369,-3.389654545465909,-1.0670575190326828
US30,14,21,3,3,30,70,8,1517,-2.8810988021997286,-0.30186226595021126
US30,14,21,3,3,30,70,16,1874,-2.6199491397715984,-0.8180285808048978
US30,14,21,5,3,10,90,4,457,1.2742824574503893,1.3121996946490138
US30,14,21,5,3,10,90,8,500,0.2955153101465694,0.7103049406806495
US30,14,21,5,3,10,90,16,727,0.2683986190826924,-0.25030120785998355
US30,14,21,5,3,20,80,4,816,-0.2914096726999135,0.42219041503283433
US30,14,21,5,3,20,80,8,892,-0.40682588333608094,-0.1387607620167189
US30,14,21,5,3,20,80,16,1163,0.47945448780750033,-0.21511444069413652
US30,14,21,5,3,30,70,4,1041,-0.41545053419787836,-0.6849581417114021
US30,14,21,5,3,30,70,8,1110,-0.5194256205805103,-0.7187219251806447
US30,14,21,5,3,30,70,16,1390,-0.2899970195792397,-0.5834311275671172
US30,21,7,1,3,10,90,4,2614,-2.5686872563409864,-1.4557967314874127
US30,21,7,1,3,10,90,8,3180,-1.474691276336254,-0.7236645170184496
US30,21,7,1,3,10,90,16,3629,-1.7140355118141968,-0.726886889536461
US30,21,7,1,3,20,80,4,2810,-2.2147055915644818,-1.1635065420876332
US30,21,7,1,3,20,80,8,3340,-1.4331627861289482,-0.6492167165960757
US30,21,7,1,3,20,80,16,3672,-1.7827145532825304,-0.7042790123639475
US30,21,7,1,3,30,70,4,2951,-1.6077503612067263,-0.9083881610489322
US30,21,7,1,3,30,70,8,3440,-1.4276055674097463,-0.8769627213502814
US30,21,7,1,3,30,70,16,3694,-1.8610133563669862,-0.7696960342074316
US30,21,7,3,3,10,90,4,1222,-1.995663382133372,0.19771688512754765
US30,21,7,3,3,10,90,8,1402,-2.7564725740217426,-0.06629773638804834
US30,21,7,3,3,10,90,16,1851,-1.8616583402704,-0.007824078278984558
US30,21,7,3,3,20,80,4,1679,-2.194757575328357,-0.04477917421650984
US30,21,7,3,3,20,80,8,1887,-1.8066362747025804,0.0740617425751883
US30,21,7,3,3,20,80,16,2193,-1.982160940174538,-0.11598333775802935
US30,21,7,3,3,30,70,4,1908,-2.8831798099769452,-0.29044871114648846
US30,21,7,3,3,30,70,8,2081,-2.067872409974544,-0.09435425392380978
US30,21,7,3,3,30,70,16,2305,-1.8086020399444196,-0.0931262458166553
US30,21,7,5,3,10,90,4,695,-5.004587129902873,-4.066278113858497
US30,21,7,5,3,10,90,8,765,-5.121089842277924,-3.8966302937058823
US30,21,7,5,3,10,90,16,1111,-3.159155319452601,-2.6426748891460474
US30,21,7,5,3,20,80,4,1166,-2.791436803559098,-1.6702731546418157
US30,21,7,5,3,20,80,8,1258,-2.9862092106793248,-2.76806880825271
US30,21,7,5,3,20,80,16,1620,-3.1744402344868297,-1.978227866660709
US30,21,7,5,3,30,70,4,1434,-2.9208587882179167,-1.167267183902253
US30,21,7,5,3,30,70,8,1541,-3.3297361414641498,-2.0337405889846463
US30,21,7,5,3,30,70,16,1829,-3.013402031510991,-1.3424744099168766
US30,21,14,1,3,10,90,4,1779,-2.175456919826339,-2.1207258688580404
US30,21,14,1,3,10,90,8,2255,-2.127542151969267,-1.4642933040029118
US30,21,14,1,3,10,90,16,3004,-1.6933037692581387,-0.8328869314907582
US30,21,14,1,3,20,80,4,2049,-1.5185285391019134,-1.6153439752145555
US30,21,14,1,3,20,80,8,2525,-2.203737459968259,-1.5049096030620412
US30,21,14,1,3,20,80,16,3200,-1.5834392414212595,-1.0115326992733915
US30,21,14,1,3,30,70,4,2308,-1.420039441461389,-1.354063823719403
US30,21,14,1,3,30,70,8,2779,-1.9006594259831844,-1.0198073312705134
US30,21,14,1,3,30,70,16,3384,-1.572124959054024,-1.1089541014673925
US30,21,14,3,3,10,90,4,954,-5.858061681906368,-1.1886882966704286
US30,21,14,3,3,10,90,8,1096,-5.6113912434541655,-0.816157253528184
US30,21,14,3,3,10,90,16,1477,-3.2312179492582693,0.7362026051123735
US30,21,14,3,3,20,80,4,1313,-5.111953526241791,-1.0831126750837934
US30,21,14,3,3,20,80,8,1488,-3.8624640342255967,-0.4711476367950251
US30,21,14,3,3,20,80,16,1874,-2.301264905413203,-0.34008014307120454
US30,21,14,3,3,30,70,4,1531,-3.400273199165089,-0.613235861470549
US30,21,14,3,3,30,70,8,1687,-2.646103215103202,-0.4351890600075097
US30,21,14,3,3,30,70,16,2054,-1.7052392713142803,-0.2533920449123487
US30,21,14,5,3,10,90,4,583,-0.18689482996611412,0.2691428043711555
US30,21,14,5,3,10,90,8,640,0.16822925489835125,-0.008050513569246135
US30,21,14,5,3,10,90,16,889,-0.5763415950923738,-0.22440431918679918
US30,21,14,5,3,20,80,4,960,-1.5041984596286087,0.20905876821774005
US30,21,14,5,3,20,80,8,1024,-1.5363177818738023,-0.6027037747019497
US30,21,14,5,3,20,80,16,1323,-1.0011621955698202,-0.4354552210877754
US30,21,14,5,3,30,70,4,1175,-2.272007147579667,-0.07905519030824043
US30,21,14,5,3,30,70,8,1251,-2.255527888304333,-0.6278336327390169
US30,21,14,5,3,30,70,16,1537,-2.3303832184486275,-0.3512258307137067
US30,21,21,1,3,10,90,4,1401,-2.3792020404206777,-1.5938545575318381
US30,21,21,1,3,10,90,8,1812,-1.5847926664052414,-0.6881015031405675
US30,21,21,1,3,10,90,16,2484,-1.1665791281692341,-0.4222154635523136
US30,21,21,1,3,20,80,4,1712,-1.8377768705325799,-1.2361428503327903
US30,21,21,1,3,20,80,8,2148,-2.2622075006824023,-1.0239142543288107
US30,21,21,1,3,20,80,16,2768,-1.7570954198079451,-1.2179073776181302
US30,21,21,1,3,30,70,4,2032,-2.499325519851596,-1.57617880247596
US30,21,21,1,3,30,70,8,2430,-2.4274719303472256,-1.2663576473074758
US30,21,21,1,3,30,70,16,3004,-2.0071260707154606,-1.592034769601919
US30,21,21,3,3,10,90,4,765,-3.727083221675319,1.1786765613458525
US30,21,21,3,3,10,90,8,892,-3.633040003580149,0.8465072099568628
US30,21,21,3,3,10,90,16,1212,-3.25076701923085,1.0670666768169506
US30,21,21,3,3,20,80,4,1094,-4.210307766043914,0.2165603119108978
US30,21,21,3,3,20,80,8,1243,-2.7995557128493367,1.1514147250303837
