sym,rsi,stoch,k,d,os,ob,reset,n,net,ex_crisis
NAS,14,21,5,3,20,80,4,837,-1.156959562060888,-0.8441467401922764
NAS,14,21,5,3,20,80,8,903,-0.6625765954460663,-0.5445987576905296
NAS,14,21,5,3,20,80,16,1187,0.18425120342353432,-0.24783279633917737
NAS,14,21,5,3,30,70,4,1086,-0.7986702864623726,-1.1481718991602177
NAS,14,21,5,3,30,70,8,1163,-0.4623677146131033,-0.8352395151793348
NAS,14,21,5,3,30,70,16,1426,-0.24260941493257726,-0.5587956443975708
NAS,21,7,1,3,10,90,4,2770,-1.2545861460559438,-1.18589951319164
NAS,21,7,1,3,10,90,8,3334,-1.0837573194853276,-0.9839604813912735
NAS,21,7,1,3,10,90,16,3849,-1.0468709331701291,-0.7810864227486403
NAS,21,7,1,3,20,80,4,2950,-1.5446836944997038,-1.2381160005459146
NAS,21,7,1,3,20,80,8,3493,-1.2872799186694424,-1.0101448742799488
NAS,21,7,1,3,20,80,16,3904,-1.145235365015186,-0.8470725518832275
NAS,21,7,1,3,30,70,4,3122,-1.6266185717635042,-1.277510695875748
NAS,21,7,1,3,30,70,8,3627,-1.35670515987028,-0.9352937832706628
NAS,21,7,1,3,30,70,16,3933,-1.2020533046419875,-0.8824066634446118
NAS,21,7,3,3,10,90,4,1294,-1.505835746928201,-1.3790889276179426
NAS,21,7,3,3,10,90,8,1460,-1.1700667237183964,-1.0230988435619066
NAS,21,7,3,3,10,90,16,1945,-0.40934682292275454,-0.435355957606197
NAS,21,7,3,3,20,80,4,1724,-1.0248122139705786,-1.2725333751682244
NAS,21,7,3,3,20,80,8,1898,-0.6451551552109558,-0.9172096987335551
NAS,21,7,3,3,20,80,16,2269,-0.4197191999042276,-0.5942449603480838
NAS,21,7,3,3,30,70,4,1986,-0.7960029896792785,-0.9179753039002018
NAS,21,7,3,3,30,70,8,2147,-0.4152998812017672,-0.6397980797935517
NAS,21,7,3,3,30,70,16,2402,-0.5485583096361231,-0.7638513910845837
NAS,21,7,5,3,10,90,4,723,-0.300631272629161,-1.0921640566613624
NAS,21,7,5,3,10,90,8,803,0.06058178299049051,-0.9973962232603021
NAS,21,7,5,3,10,90,16,1167,0.6689162184889906,0.1483262735677861
NAS,21,7,5,3,20,80,4,1166,0.14418181634462013,-0.3294359295203128
NAS,21,7,5,3,20,80,8,1254,0.04287995724252712,-0.32167050295924055
NAS,21,7,5,3,20,80,16,1612,0.1992284513346062,0.02558892797437162
NAS,21,7,5,3,30,70,4,1460,-0.1775389599917387,-0.4938897562671555
NAS,21,7,5,3,30,70,8,1553,-0.11006818959046606,-0.4014194888550281
NAS,21,7,5,3,30,70,16,1840,-0.003948587086043145,-0.2663263578635859
NAS,21,14,1,3,10,90,4,1857,-1.0704917672986547,-0.9819964712530087
NAS,21,14,1,3,10,90,8,2350,-0.6921630808288334,-0.6990150447698487
NAS,21,14,1,3,10,90,16,3158,-0.7756059481304711,-0.39855336805697483
NAS,21,14,1,3,20,80,4,2106,-1.2610490575296232,-1.0733098497949172
NAS,21,14,1,3,20,80,8,2602,-0.684552158522255,-0.5645398094986388
NAS,21,14,1,3,20,80,16,3375,-0.9652717670492936,-0.4944698143475716
NAS,21,14,1,3,30,70,4,2377,-1.054476579161777,-0.8737499559504521
NAS,21,14,1,3,30,70,8,2861,-0.8894377890484761,-0.4520659686897695
NAS,21,14,1,3,30,70,16,3548,-0.9606368878396675,-0.3953521596343633
NAS,21,14,3,3,10,90,4,978,-0.9066417489505243,-0.9176065990677424
