n,pts,sd,t,mde,pf,win,total,dd,ret_dd,sharpe,per_yr,ratio,n_need,yrs_need,block,ch,arm
147,2.7338095238095232,79.73675724921982,0.4156888253002127,18.427568458647148,1.0843534587709796,0.3333333333333333,401.8699999999999,1244.4500000000055,0.32292980834906837,0.24486004780924173,58.10795454545454,0.1483543273733807,6679.0838710156095,114.9426773539403,B holdout,30,+adx<=20
304,0.8646052631579192,78.06413106913857,0.193109276516301,12.545352512694997,1.0265415860930334,0.3256578947368421,262.8400000000074,1652.569999999987,0.159049238458891,0.10939229323374898,120.16883116883116,0.06891837134771626,64003.47762260051,532.6129662747476,B holdout,30,+ema align
453,-4.8895584988962115,75.11039191254415,-1.3855388870624539,9.88824134915069,0.8592015123805827,0.2913907284768212,-2214.969999999984,3735.98999999998,-0.592873642595402,-0.7939515347821575,179.0673701298701,-0.4944821152970928,,,B holdout,40,base
139,3.5625179856115134,80.39237231368725,0.522455879830673,19.10625524765587,1.1099769692204846,0.33093525179856115,495.1900000000004,1213.3800000000058,0.4081079299147819,0.3092408935907632,54.94561688311688,0.18645820122436582,3998.083128670872,72.76436876076573,B holdout,40,+adx<=20
301,0.35119601328906275,77.98897591261293,0.07812672283809942,12.595577972407536,1.010678144501933,0.3222591362126246,105.71000000000788,1560.6999999999873,0.0677324277567814,0.04443708856556357,118.98295454545453,0.02788248495292627,387171.6440111578,3254.009328397105,B holdout,40,+ema align
430,-4.9202325581394835,74.72059855508817,-1.365461678032092,10.096578944475374,0.8577704576393684,0.29069767441860467,-2115.699999999978,3950.4599999999737,-0.5355578843982706,-0.7622293159843251,169.97564935064935,-0.4873168015817602,,,B holdout,55,base
127,6.454094488188979,81.48553932821488,0.8925994919705468,20.260343993678017,1.205959138342165,0.3464566929133858,819.6700000000003,1032.2600000000057,0.7940538236490766,0.5144135698255914,50.20211038961038,0.318557991424178,1251.4880648824444,24.928993127377513,B holdout,55,+adx<=20
294,1.1756462585034335,78.17486967843072,0.25785951728910794,12.775021263354263,1.036100736135831,0.32653061224489793,345.6400000000094,1425.3499999999865,0.24249482583226065,0.14585780153463077,116.21590909090908,0.09202695120953175,34715.00735818692,298.71131783714185,B holdout,55,+ema align
316,0.5906962025316091,83.23104030723678,0.126160208265821,13.11927732400528,1.016386908733363,0.3037974683544304,186.6599999999885,1714.9899999999975,0.1088402847829951,0.10713841144765271,284.2832512315271,0.04502505648316238,155875.74780859632,548.3114011583024,C forward ISO,10,base
94,3.6578723404255182,87.11257792066269,0.40710984541935175,25.175903784185675,1.1020948082604625,0.30851063829787234,343.8399999999987,570.0899999999999,0.6031328386745931,0.3366017068938874,84.5652709359606,0.14529259294052524,4452.879110502878,52.656120665360895,C forward ISO,10,+adx<=20
188,3.137127659574368,85.53387956986626,0.5028899374040168,17.479434461352913,1.0878891289769734,0.30851063829787234,589.7799999999812,1046.5300000000016,0.563557661987693,0.42822625180766194,169.1305418719212,0.1794753523925827,5836.442614959585,34.508507750063224,C forward ISO,10,+ema align
