block,ch,reading,n,keep,base,pts,delta,p,pf,mde,total
B holdout,15,fast 13>34,462,0.7996331957817515,-0.44326086956519833,-1.9192207792207403,-1.475959909655542,0.86,0.9441650640601807,10.144269598270157,-886.679999999982
B holdout,20,align 13>34>89,310,0.6505291005291005,-1.6010236220472271,1.1261290322580915,2.7271526543053186,0.085,1.034522963061122,12.482074957347173,349.1000000000083
B holdout,20,slow 34>89,330,0.6735449735449736,-1.6010236220472271,2.178484848484846,3.779508470532073,0.0225,1.0684470451803811,12.070451200304607,718.8999999999992
B holdout,20,fast 13>34,447,0.8605820105820106,-1.6010236220472271,-2.923557046979825,-1.322533424932598,0.8925,0.9152596006761967,10.207864782081023,-1306.8299999999817
B holdout,30,align 13>34>89,304,0.7066076509642745,-5.048064516129,0.8646052631579192,5.91266977928692,0.0,1.0265415860930334,12.545352512694997,262.8400000000074
B holdout,30,slow 34>89,312,0.7157761618716408,-5.048064516129,1.0702564102564156,6.118320926385415,0.0,1.0334350978411166,12.311033598887969,333.92000000000166
B holdout,30,fast 13>34,437,0.9320265570660765,-5.048064516129,-4.498695652173872,0.5493688639551282,0.315,0.8714623929114812,10.207932175538783,-1965.929999999982
B holdout,40,align 13>34>89,301,0.7521116415717958,-4.8895584988962115,0.35119601328906275,5.2407545121852745,0.0,1.010678144501933,12.595577972407536,105.71000000000788
B holdout,40,slow 34>89,308,0.7579875137715755,-4.8895584988962115,0.20448051948052987,5.0940390183767414,0.0,1.0062753397481694,12.395891289713784,62.9800000000032
B holdout,40,fast 13>34,429,0.9632757987513771,-4.8895584988962115,-4.374382284382243,0.5151762145139687,0.225,0.8752656224555255,10.329026070363428,-1876.6099999999822
B holdout,55,align 13>34>89,294,0.7992143168921868,-4.9202325581394835,1.1756462585034335,6.095878816642917,0.0,1.036100736135831,12.775021263354263,345.6400000000094
B holdout,55,slow 34>89,299,0.8031427324312528,-4.9202325581394835,0.7899331103679228,5.710165668507406,0.0,1.0243533007234131,12.582904182483139,236.19000000000892
B holdout,55,fast 13>34,410,0.9807944129201223,-4.9202325581394835,-4.115121951219464,0.8051106069200191,0.02,0.881418507905785,10.521164634739185,-1687.1999999999805
C forward ISO,10,align 13>34>89,188,0.5364540182270091,0.5906962025316091,3.137127659574368,2.546431457042759,0.25,1.0878891289769734,17.479434461352913,589.7799999999812
C forward ISO,10,slow 34>89,207,0.5927920463960232,0.5906962025316091,2.8312560386473042,2.240559836115695,0.2775,1.0793317974221586,16.54162786724525,586.069999999992
C forward ISO,10,fast 13>34,256,0.7274233637116818,0.5906962025316091,0.7615624999999628,0.1708662974683537,0.515,1.0210072624614772,14.701553556565228,194.9599999999905
C forward ISO,15,align 13>34>89,178,0.5788683024536805,2.731951219512158,5.127415730336974,2.3954645108248163,0.2625,1.1462653989092726,18.128767493367413,912.6799999999814
C forward ISO,15,slow 34>89,191,0.6179268903355033,2.731951219512158,4.081727748691027,1.3497765291788695,0.3275,1.1158496173564134,17.35095393284065,779.6099999999863
C forward ISO,15,fast 13>34,246,0.799699549323986,2.731951219512158,2.1051219512194725,-0.6268292682926853,0.59,1.058780997481267,15.097405204705838,517.8599999999902
C forward ISO,20,align 13>34>89,175,0.6174112256586484,4.612554744525507,6.11171428571418,1.4991595411886731,0.3325,1.175825494573416,18.369975149646784,1069.5499999999815
C forward ISO,20,slow 34>89,185,0.6426116838487973,4.612554744525507,5.909999999999923,1.2974452554744156,0.4025,1.170416287392294,17.788049700967882,1093.3499999999858
C forward ISO,20,fast 13>34,242,0.856815578465063,4.612554744525507,2.177768595041283,-2.4347861494842244,0.9025,1.060905199511851,15.21498002361542,527.0199999999904
C forward ISO,30,align 13>34>89,173,0.675207756232687,4.586264591439622,5.673583815028758,1.0873192235891365,0.3725,1.162754757715894,18.364318632681606,981.5299999999752
C forward ISO,30,slow 34>89,177,0.6849030470914127,4.586264591439622,6.785706214689151,2.1994416232495295,0.24,1.196108429721836,18.273260802491187,1201.0699999999797
C forward ISO,30,fast 13>34,240,0.9411357340720221,4.586264591439622,0.995833333333269,-3.590431258106353,0.9925,1.0276200954106707,15.118442267265356,238.99999999998454
C forward ISO,40,align 13>34>89,168,0.7271280827366746,3.9972950819671804,6.2082142857141385,2.210919203746958,0.215,1.179157856042266,18.661813172643367,1042.9799999999752
C forward ISO,40,slow 34>89,171,0.7334924423229913,3.9972950819671804,7.688947368420935,3.691652286453755,0.12,1.2242528231796614,18.64705760403328,1314.80999999998
C forward ISO,40,fast 13>34,231,0.9753381066030231,3.9972950819671804,1.8160606060605458,-2.181234475906635,0.99,1.0506221122251576,15.505603908864341,419.50999999998606
C forward ISO,55,align 13>34>89,166,0.7969782813975449,3.0365217391303987,6.9130120481926225,3.876490309062224,0.0925,1.200728005471406,18.834701726275593,1147.5599999999754
C forward ISO,55,slow 34>89,169,0.8026440037771483,3.0365217391303987,6.277455621301656,3.2409338821712574,0.15,1.1822343457177322,18.55207410458459,1060.8899999999799
C forward ISO,55,fast 13>34,219,0.983947119924457,3.0365217391303987,3.3191324200912664,0.2826106809608677,0.3975,1.0936208413240769,16.076224787690208,726.8899999999874
