tf,design,stop,tgt,be,be_off,arm,tr,n,R,pts,pf,win,sharpe,p_flat
3,S1 opening drive,1.0,3.0,1.0,0.25,0.0,0.0,915,-0.33371701929773073,-2.2072241732694797,0.5249786884287396,0.26885245901639343,-3.881640288563348,0.0
3,S1 opening drive,1.0,3.0,1.0,0.25,1.0,1.0,916,-0.3445530899319893,-2.2614392603225046,0.5024169206880124,0.3799126637554585,-4.185681903825899,0.0
3,S1 opening drive,1.5,0.0,0.0,0.0,0.0,0.0,690,-0.0864394377846491,-1.6543747161283162,0.9198974094812418,0.0927536231884058,-0.7152509856389352,0.0927536231884058
3,S1 opening drive,1.5,0.0,0.0,0.0,1.0,1.0,787,-0.22828943266351917,-2.343832044972885,0.640349765655153,0.38373570520965694,-2.7537472847822704,0.0
3,S1 opening drive,1.5,0.0,1.0,0.25,0.0,0.0,775,-0.17985648507899846,-2.256934477586333,0.7123790482135958,0.42451612903225805,-1.626429185364995,0.03870967741935484
3,S1 opening drive,1.5,0.0,1.0,0.25,1.0,1.0,788,-0.22534452362698876,-2.2977886590653696,0.6388935579774162,0.4581218274111675,-2.7089546636218627,0.0
3,S1 opening drive,1.5,1.0,0.0,0.0,0.0,0.0,841,-0.24146793599325397,-2.516665093675194,0.6142911746029649,0.47324613555291317,-3.737610934386303,0.0
3,S1 opening drive,1.5,1.0,0.0,0.0,1.0,1.0,841,-0.24146793599325397,-2.516665093675194,0.6142911746029649,0.47324613555291317,-3.737610934386303,0.0
3,S1 opening drive,1.5,1.0,1.0,0.25,0.0,0.0,841,-0.24146793599325397,-2.516665093675194,0.6142911746029649,0.47324613555291317,-3.737610934386303,0.0
3,S1 opening drive,1.5,1.0,1.0,0.25,1.0,1.0,841,-0.24146793599325397,-2.516665093675194,0.6142911746029649,0.47324613555291317,-3.737610934386303,0.0
3,S1 opening drive,1.5,1.5,0.0,0.0,0.0,0.0,767,-0.2496846619282068,-2.6736585382499958,0.6636647203736402,0.3754889178617992,-3.241719884048613,0.0
3,S1 opening drive,1.5,1.5,0.0,0.0,1.0,1.0,800,-0.2601682321557257,-2.7162752662230925,0.5921979436336408,0.38125,-3.769984074157974,0.0
3,S1 opening drive,1.5,1.5,1.0,0.25,0.0,0.0,801,-0.2552026449147938,-2.6769782513785167,0.5932493599939057,0.4519350811485643,-3.7293158285948005,0.0
3,S1 opening drive,1.5,1.5,1.0,0.25,1.0,1.0,801,-0.25621869611893794,-2.670216416087955,0.5915431711643961,0.4556803995006242,-3.721921779379003,0.0
