tf,geom,feature,n_res,kept,keep_frac,base,filt,edge,p,binary,bh
240,V54  20/20 2.0N no-tp,div.exhausted_sellers_k2_w10,337,86,0.2551928783382789,0.07776717706941835,0.29977488092722293,0.22200770385780458,0.13166666666666665,True,False
60,V54  20/20 2.0N no-tp,conf.both55,1410,92,0.06524822695035461,0.026027206181531964,0.12703726319051123,0.10101005700897926,0.14,True,False
60,V38  70/30 2.5N no-tp,div.exhausted_sellers_k2_w30,574,271,0.4721254355400697,0.05363951908945588,0.10606215031016984,0.052422631220713965,0.14,True,False
60,V38  70/30 2.5N no-tp,div.exhausted_buyers_k5_w20,574,115,0.20034843205574912,0.05363951908945588,0.15856841737708952,0.10492889828763363,0.14666666666666667,True,False
240,V54  20/20 2.0N no-tp,div.absorbed_buying_k2_w20,337,158,0.4688427299703264,0.07776717706941835,0.189311490942596,0.11154431387317765,0.15833333333333333,True,False
60,V54  20/20 2.0N no-tp,conf.cvd_newhigh55,1410,230,0.16312056737588654,0.026027206181531964,0.07759725446393131,0.05157004828239935,0.16166666666666665,True,False
240,V54  20/20 2.0N no-tp,div.exhausted_sellers_k3_w30,337,150,0.44510385756676557,0.07776717706941835,0.1868678687692516,0.10910069169983325,0.16333333333333333,True,False
60,V38  70/30 2.5N no-tp,div.exhausted_buyers_k5_w10,574,46,0.08013937282229965,0.05363951908945588,0.21881627686737956,0.16517675777792368,0.17333333333333334,True,False
240,V38  70/30 2.5N no-tp,flow.bar_delta_norm,146,73,0.5,0.23178743204105454,0.40601886863587583,0.1742314365948213,0.175,False,False
60,V54  20/20 2.0N no-tp,div.absorbed_selling_k5_w10,1410,180,0.1276595744680851,0.026027206181531964,0.08385874179044155,0.05783153560890958,0.17833333333333334,True,False
60,V38  70/30 2.5N no-tp,ctx.vol_ratio,574,287,0.5,0.05363951908945588,0.09492204827602624,0.04128252918657036,0.18,False,False
60,V38  70/30 2.5N no-tp,div.exhausted_sellers_k2_w20,574,194,0.33797909407665505,0.05363951908945588,0.10738218760764376,0.05374266851818788,0.18166666666666667,True,False
240,V38  70/30 2.5N no-tp,div.absorbed_selling_k2_w30,146,81,0.5547945205479452,0.23178743204105454,0.40350944694657553,0.171722014905521,0.18333333333333332,True,False
60,V54  20/20 2.0N no-tp,div.exhausted_sellers_k5_w10,1410,146,0.10354609929078014,0.026027206181531964,0.08828914827812416,0.06226194209659219,0.19166666666666668,True,False
60,V54  20/20 2.0N no-tp,div.absorbed_buying_k3_w20,1410,454,0.3219858156028369,0.026027206181531964,0.05568883422292503,0.02966162804139307,0.195,True,False
60,V54  20/20 2.0N no-tp,div.absorbed_buying_k3_w10,1410,270,0.19148936170212766,0.026027206181531964,0.0669006008284605,0.04087339464692853,0.20166666666666666,True,False
240,V38  70/30 2.5N no-tp,div.exhausted_sellers_k2_w30,146,74,0.5068493150684932,0.23178743204105454,0.3925845728092052,0.1607971407681507,0.20666666666666667,True,False
60,V38  70/30 2.5N no-tp,div.exhausted_sellers_k2_w10,574,100,0.17421602787456447,0.05363951908945588,0.12908371636227348,0.07544419727281759,0.21833333333333332,True,False
240,V38  70/30 2.5N no-tp,div.absorbed_buying_k5_w30,146,54,0.3698630136986301,0.23178743204105454,0.44057792438215,0.20879049234109545,0.22,True,False
60,V38  70/30 2.5N no-tp,ctx.atr_rank250,574,287,0.5,0.05363951908945588,0.0858949031575258,0.03225538406806993,0.22333333333333333,False,False
60,V54  20/20 2.0N no-tp,div.exhausted_buyers_k2_w30,1410,590,0.41843971631205673,0.026027206181531964,0.05048061642776951,0.02445341024623755,0.225,True,False
240,V54  20/20 2.0N no-tp,conf.cvd_newhigh55,337,73,0.2166172106824926,0.07776717706941835,0.22738412914325626,0.1496169520738379,0.22666666666666666,True,False
