n,win,pf,R,pts,sharpe,stop_share,flat_share,chan_share,tgt_share,level,side,window,flat,N,adx,gate,ema,atrx,stop,exN,tp
196,0.45918367346938777,0.9412959961777234,-0.03691051506566099,-0.2184916169657095,-0.1918695712642413,0.1989795918367347,0.7193877551020408,0.08163265306122448,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,0.0,3.5,10,0.0
209,0.4784688995215311,1.0099496249195816,-0.019000657365561304,0.03409353158916859,0.03288951043760414,0.1722488038277512,0.5741626794258373,0.07655502392344497,0.17703349282296652,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,0.0,3.5,10,1.0
196,0.4642857142857143,0.945685255841562,-0.035833740472476235,-0.20165143576710942,-0.17649773610530867,0.22448979591836735,0.7551020408163265,0.02040816326530612,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,0.0,3.5,20,0.0
209,0.48325358851674644,1.014595505540305,-0.017990859182478943,0.049886237402209814,0.04795689766025214,0.19617224880382775,0.6076555023923444,0.019138755980861243,0.17703349282296652,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,0.0,3.5,20,1.0
202,0.38613861386138615,0.9405709457859205,-0.04286412071777633,-0.1758248647274448,-0.19719801889444316,0.48514851485148514,0.5099009900990099,0.0049504950495049506,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,1.1,1.5,10,0.0
237,0.4978902953586498,0.908782227060415,-0.03085215295795567,-0.22876224336383752,-0.40408167207409673,0.3755274261603376,0.22784810126582278,0.0,0.39662447257383965,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,1.1,1.5,10,1.0
202,0.38613861386138615,0.9432066123378682,-0.04101372298930626,-0.16755753799477227,-0.18799768212254245,0.48514851485148514,0.5148514851485149,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,1.1,1.5,20,0.0
237,0.4978902953586498,0.908782227060415,-0.03085215295795567,-0.22876224336383752,-0.40408167207409673,0.3755274261603376,0.22784810126582278,0.0,0.39662447257383965,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,1.1,1.5,20,1.0
193,0.43523316062176165,0.8933278868763601,-0.060187815132264004,-0.378362047295408,-0.3616015958829538,0.33678756476683935,0.6424870466321243,0.02072538860103627,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,1.1,2.5,10,0.0
213,0.4788732394366197,0.9339246645412784,-0.022214478315637935,-0.21607426240653618,-0.2497463650183923,0.27699530516431925,0.41784037558685444,0.018779342723004695,0.2863849765258216,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,1.1,2.5,10,1.0
193,0.43523316062176165,0.8941233202864683,-0.05930616577177865,-0.3752065844223627,-0.3582817058534589,0.34196891191709844,0.6580310880829016,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,1.1,2.5,20,0.0
213,0.4788732394366197,0.9347419407322168,-0.02141561293266296,-0.21321508712720405,-0.24619109712245832,0.28169014084507044,0.431924882629108,0.0,0.2863849765258216,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,1.1,2.5,20,1.0
190,0.4631578947368421,0.913586199895534,-0.044999420051500316,-0.318766219223233,-0.28139316892166294,0.2,0.7315789473684211,0.06842105263157895,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,1.1,3.5,10,0.0
200,0.48,0.990554814750831,-0.02395657368519057,-0.03228128492460883,-0.030865470504272657,0.175,0.6,0.065,0.16,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,1.1,3.5,10,1.0
190,0.4631578947368421,0.9059997524130339,-0.04809211301181853,-0.34965491449665337,-0.3069227953072145,0.22105263157894736,0.7631578947368421,0.015789473684210527,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,1.1,3.5,20,0.0
200,0.48,0.9821224674974127,-0.026894631997492847,-0.06162554543435817,-0.05857003243004205,0.195,0.63,0.015,0.16,RTH 09:30-16:00,1,08:00-12:00,12:00,20,0,True,2.0,1.1,3.5,20,1.0
285,0.39649122807017545,1.0557286091013804,0.0037876392155407252,0.15759862762922733,0.20202326412709698,0.4807017543859649,0.5087719298245614,0.010526315789473684,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,20,False,0.0,0.0,1.5,10,0.0
336,0.49702380952380953,0.9072358635294345,-0.041714217938024586,-0.22401723036579874,-0.46319155222803754,0.375,0.24702380952380953,0.0,0.37797619047619047,RTH 09:30-16:00,1,08:00-12:00,12:00,20,20,False,0.0,0.0,1.5,10,1.0
285,0.3929824561403509,1.0548254413879246,0.0028013740352465085,0.15516995787846802,0.19888198025768192,0.4842105263157895,0.5157894736842106,0.0,0.0,RTH 09:30-16:00,1,08:00-12:00,12:00,20,20,False,0.0,0.0,1.5,20,0.0
336,0.49702380952380953,0.9072358635294345,-0.041714217938024586,-0.22401723036579874,-0.46319155222803754,0.375,0.24702380952380953,0.0,0.37797619047619047,RTH 09:30-16:00,1,08:00-12:00,12:00,20,20,False,0.0,0.0,1.5,20,1.0
