window,flat,adx,stop,R_NQ,pf_NQ,n_NQ,win_NQ,R_US100,pf_US100,n_US100,win_US100,R_US30,pf_US30,n_US30,win_US30,minR,minPF
09:30-11:00,hold (no flatten),25,3.0,0.005650603167020438,1.1098686391145767,85,0.4588235294117647,0.2729084761093477,1.8176220086104524,155,0.5290322580645161,0.14086112346919394,1.2444144563862778,155,0.45161290322580644,0.005650603167020438,1.1098686391145767
09:30-12:00,flat 16:00,20,2.0,0.14071782180748824,1.3580337402706568,124,0.43548387096774194,0.143100602140347,1.243165048515648,302,0.48013245033112584,-0.015234886914446832,0.9199334993233435,285,0.4105263157894737,0.14071782180748824,1.243165048515648
09:30-12:00,flat 16:00,20,2.5,0.14965948818937233,1.3992165487320711,120,0.49166666666666664,0.1500491925919936,1.339388969081708,299,0.5384615384615384,0.02281291344186582,0.9665203402688275,275,0.46545454545454545,0.14965948818937233,1.339388969081708
09:30-12:00,flat 16:00,20,3.0,0.07099777421907838,1.2210841604776148,120,0.49166666666666664,0.14265498058081075,1.424354016326092,297,0.569023569023569,0.026279989398866718,0.9757398225097709,273,0.48717948717948717,0.07099777421907838,1.2210841604776148
09:30-12:00,flat 16:00,25,2.0,0.06325582289379175,1.226622273436297,101,0.44554455445544555,0.1481833786648894,1.2632914912816267,228,0.5087719298245614,-0.015466158054293149,0.9509221434970455,223,0.3991031390134529,0.06325582289379175,1.226622273436297
09:30-12:00,flat 16:00,25,2.5,0.07151243146812117,1.2368094573357893,98,0.5,0.1752930584036968,1.4432483346680471,225,0.5733333333333334,0.010687467354278567,0.9772778053506438,216,0.44907407407407407,0.07151243146812117,1.2368094573357893
09:30-12:00,flat 16:00,25,3.0,0.010597342352927686,1.0948689004520331,98,0.5,0.13778005119989262,1.4253674655577213,224,0.5892857142857143,0.008003138943575492,0.9780950222943278,215,0.4604651162790698,0.010597342352927686,1.0948689004520331
09:30-12:00,hold (no flatten),20,2.0,0.09399321305793294,1.274376646747997,124,0.4112903225806452,0.26458286193796415,1.5031611424587759,289,0.4463667820069204,0.11753195534272987,1.0903169617247463,274,0.39416058394160586,0.09399321305793294,1.274376646747997
09:30-12:00,hold (no flatten),20,2.5,0.10800115044303285,1.308691684440797,120,0.4583333333333333,0.2614059294947393,1.6341539582288753,285,0.48771929824561405,0.1452063121939726,1.1345363426352022,263,0.4524714828897338,0.10800115044303285,1.308691684440797
09:30-12:00,hold (no flatten),20,3.0,0.07039899593680982,1.2320730990247033,120,0.475,0.2912228443285728,1.9798411621837753,280,0.5428571428571428,0.14591562867342095,1.1372085470740976,258,0.4728682170542636,0.07039899593680982,1.2320730990247033
09:30-12:00,hold (no flatten),25,2.0,0.020820089565171108,1.1846992013508835,101,0.40594059405940597,0.2547973945821562,1.4529044062161285,219,0.4794520547945205,0.10944226583702633,1.0991103161026816,215,0.39069767441860465,0.020820089565171108,1.1846992013508835
09:30-12:00,hold (no flatten),25,2.5,0.033555167395838074,1.1900814302474756,98,0.4489795918367347,0.2730281837813945,1.6597193081584363,215,0.5255813953488372,0.11344530766090574,1.1012849768449597,208,0.4375,0.033555167395838074,1.1900814302474756
09:30-12:00,hold (no flatten),25,3.0,0.02166445905479228,1.1583310160770577,98,0.46938775510204084,0.2605729654536155,1.7276547968502323,212,0.5613207547169812,0.13194717059743644,1.1188790074984571,205,0.45365853658536587,0.02166445905479228,1.1583310160770577
09:30-14:00,flat 16:00,20,2.0,0.16235380821615736,1.431433793888907,151,0.46357615894039733,0.13647554336241735,1.252962495797648,369,0.4905149051490515,-0.030620442594267418,0.920929623783133,347,0.414985590778098,0.13647554336241735,1.252962495797648
09:30-14:00,flat 16:00,20,2.5,0.14344429583140178,1.4020067986617686,145,0.503448275862069,0.13605353010811927,1.3418710261007463,362,0.5386740331491713,0.005826298268012659,0.9740980410342884,335,0.4626865671641791,0.13605353010811927,1.3418710261007463
09:30-14:00,flat 16:00,20,3.0,0.0707730363733237,1.2319456079623312,145,0.503448275862069,0.12681077411891364,1.4109110868699712,359,0.5654596100278552,0.009940346839634047,0.9811068303329876,333,0.48348348348348347,0.0707730363733237,1.2319456079623312
09:30-14:00,flat 16:00,25,2.0,0.11480413806755171,1.3781532917167207,122,0.4918032786885246,0.11277036699191638,1.1917704612825786,289,0.5051903114186851,-0.02021499771415278,0.9872989805776183,271,0.4132841328413284,0.11277036699191638,1.1917704612825786
09:30-14:00,flat 16:00,25,2.5,0.09477934934247985,1.335467886583499,117,0.5299145299145299,0.13696618949587339,1.372457633898176,284,0.5598591549295775,0.005561266068753309,1.0224698968099653,262,0.4618320610687023,0.09477934934247985,1.335467886583499
09:30-14:00,flat 16:00,25,3.0,0.033669608617511275,1.1796747502238218,117,0.5299145299145299,0.10556107546200642,1.3488830656103779,282,0.574468085106383,0.0008146432416458761,1.0119676489615679,261,0.47126436781609193,0.033669608617511275,1.1796747502238218
09:30-14:00,hold (no flatten),20,2.0,0.10486896348282751,1.336541972139953,147,0.41496598639455784,0.3195210522490064,1.653388602874622,344,0.45348837209302323,0.09009514059433099,1.037546520728017,332,0.3855421686746988,0.10486896348282751,1.336541972139953
09:30-14:00,hold (no flatten),20,2.5,0.10686066591699142,1.3432611576884634,141,0.45390070921985815,0.3051023628533505,1.7752418444429925,335,0.4925373134328358,0.11902682161222411,1.081760390293687,318,0.44339622641509435,0.10686066591699142,1.3432611576884634
09:30-14:00,hold (no flatten),20,3.0,0.06935261586289562,1.264313653168728,141,0.46808510638297873,0.316709653287981,2.0556104589494435,329,0.541033434650456,0.11653777499491395,1.0802614225983818,313,0.46325878594249204,0.06935261586289562,1.264313653168728
09:30-14:00,hold (no flatten),25,2.0,0.05558501387727147,1.260421651358871,120,0.4083333333333333,0.2963328588159464,1.5984999011047096,272,0.46691176470588236,0.10300763877950322,1.1057601016645355,261,0.39080459770114945,0.05558501387727147,1.260421651358871
09:30-14:00,hold (no flatten),25,2.5,0.05600919105254457,1.256609359298363,115,0.4434782608695652,0.2997573184099577,1.7868042716454735,264,0.5113636363636364,0.09431930517658671,1.0827203620804695,252,0.43253968253968256,0.05600919105254457,1.256609359298363
09:30-14:00,hold (no flatten),25,3.0,0.03551007935575464,1.2098029731480833,115,0.4608695652173913,0.2715580504503702,1.8131873648324128,261,0.5402298850574713,0.1032559460551176,1.0803640711987126,249,0.4457831325301205,0.03551007935575464,1.2098029731480833
