n,win,pf,R,pts,sharpe,stop_share,flat_share,chan_share,tgt_share,side,N,adx,gate,stop,exN,tp
176,0.4715909090909091,1.2755606327919335,0.12596323594188438,9.543402423111566,0.8523230313990297,0.3125,0.5397727272727273,0.14772727272727273,0.0,1,20,0,True,2.5,10,0.0
211,0.5639810426540285,1.0532750899738323,0.0364593291184443,1.5733199148242372,0.20977325438721223,0.2559241706161137,0.1943127962085308,0.08056872037914692,0.46919431279620855,1,20,0,True,2.5,10,0.75
203,0.5320197044334976,1.1646007640380973,0.07442514161923318,5.0269286994373505,0.599765276676955,0.270935960591133,0.270935960591133,0.09359605911330049,0.3645320197044335,1,20,0,True,2.5,10,1.0
176,0.4772727272727273,1.2239399965597513,0.11619607317052859,8.437270654920638,0.7212810610686922,0.38636363636363635,0.5909090909090909,0.022727272727272728,0.0,1,20,0,True,2.5,20,0.0
211,0.5734597156398105,1.0370100532708206,0.0338919743059234,1.145994268882958,0.14666571926475563,0.3033175355450237,0.2037914691943128,0.009478672985781991,0.4834123222748815,1,20,0,True,2.5,20,0.75
203,0.541871921182266,1.147498670892908,0.0706108753656641,4.753962751147354,0.5431431274332716,0.3251231527093596,0.28078817733990147,0.014778325123152709,0.3793103448275862,1,20,0,True,2.5,20,1.0
252,0.3888888888888889,1.1548860138791228,0.09779594425789978,4.768986683088378,0.5927919332750579,0.5158730158730159,0.376984126984127,0.10714285714285714,0.0,1,20,20,False,1.5,10,0.0
319,0.5862068965517241,1.0156279164735555,0.015650834342398574,0.3481401332787015,0.0769276173497034,0.3761755485893417,0.04075235109717868,0.012539184952978056,0.5705329153605015,1,20,20,False,1.5,10,0.75
311,0.5305466237942122,1.0855957439483166,0.04351516745571833,2.102700782769473,0.41738014616343366,0.4180064308681672,0.07717041800643087,0.01607717041800643,0.4887459807073955,1,20,20,False,1.5,10,1.0
252,0.38095238095238093,1.1357895460415437,0.10015628360762162,4.370231208717215,0.5326709631280844,0.5634920634920635,0.43253968253968256,0.003968253968253968,0.0,1,20,20,False,1.5,20,0.0
319,0.5893416927899686,1.0261481786180289,0.01885736450933837,0.5783657885320604,0.12774704362921077,0.3824451410658307,0.047021943573667714,0.0,0.5705329153605015,1,20,20,False,1.5,20,0.75
311,0.5337620578778135,1.0948837038171946,0.04640816300337895,2.317508523455231,0.45972855447229866,0.42765273311897106,0.08360128617363344,0.0,0.4887459807073955,1,20,20,False,1.5,20,1.0
236,0.4745762711864407,1.144243098594854,0.07768098361263731,5.31059646984831,0.5561721980094597,0.3050847457627119,0.5,0.19491525423728814,0.0,1,20,20,False,2.5,10,0.0
289,0.5709342560553633,1.0758538850339125,0.03961179923175206,2.3248697928177124,0.34679495363966034,0.2422145328719723,0.17647058823529413,0.09688581314878893,0.4844290657439446,1,20,20,False,2.5,10,0.75
275,0.5272727272727272,1.094251017694268,0.05547185716358455,3.1117965686103624,0.42189042810623634,0.26545454545454544,0.2509090909090909,0.12,0.36363636363636365,1,20,20,False,2.5,10,1.0
236,0.4788135593220339,1.0858534885192734,0.06689867954803634,3.4715559451039546,0.3422949039052499,0.3898305084745763,0.5932203389830508,0.01694915254237288,0.0,1,20,20,False,2.5,20,0.0
289,0.5882352941176471,1.0654289562100432,0.04092251766632766,2.0782389271309407,0.2941811946006845,0.30103806228373703,0.20069204152249134,0.0034602076124567475,0.49480968858131485,1,20,20,False,2.5,20,0.75
275,0.5454545454545454,1.0805484217357642,0.05862265171694061,2.7921454385143947,0.357644001117447,0.33090909090909093,0.2872727272727273,0.007272727272727273,0.37454545454545457,1,20,20,False,2.5,20,1.0
160,0.38125,1.286853300917398,0.13996011392357302,8.105699829050607,0.8138139960143806,0.5,0.40625,0.09375,0.0,1,20,20,True,1.5,10,0.0
200,0.595,1.1213938792891598,0.03860218099250176,2.4065010211687343,0.4607616394991801,0.36,0.045,0.015,0.58,1,20,20,True,1.5,10,0.75
193,0.5440414507772021,1.2304481095389792,0.08697515380622704,5.010608166705468,0.8325361466717177,0.39378238341968913,0.07253886010362694,0.02072538860103627,0.5129533678756477,1,20,20,True,1.5,10,1.0
160,0.3875,1.3008733403225785,0.1596068787228468,8.702643096556566,0.8531592040758614,0.55,0.44375,0.00625,0.0,1,20,20,True,1.5,20,0.0
200,0.595,1.1190489640097636,0.03779438177415053,2.364960941297842,0.4509947707265898,0.37,0.05,0.0,0.58,1,20,20,True,1.5,20,0.75
193,0.5440414507772021,1.226081597452187,0.08549991364248824,4.933174007914125,0.8164910131246338,0.40932642487046633,0.07772020725388601,0.0,0.5129533678756477,1,20,20,True,1.5,20,1.0
149,0.47651006711409394,1.328497354451529,0.11226253550701429,10.596724944649091,0.913925514106913,0.3087248322147651,0.5436241610738255,0.1476510067114094,0.0,1,20,20,True,2.5,10,0.0
180,0.5722222222222222,1.1701595579565374,0.06009414485518682,4.693916295869469,0.5938017711178156,0.25,0.17777777777777778,0.07777777777777778,0.49444444444444446,1,20,20,True,2.5,10,0.75
172,0.5290697674418605,1.2307906790993086,0.07817881472090851,6.6308485573947,0.7581233691831186,0.26744186046511625,0.28488372093023256,0.09302325581395349,0.3546511627906977,1,20,20,True,2.5,10,1.0
149,0.4899328859060403,1.3118506272564043,0.11275879559503015,10.750665070612374,0.8896009723824514,0.37583892617449666,0.6040268456375839,0.020134228187919462,0.0,1,20,20,True,2.5,20,0.0
180,0.5888888888888889,1.1849057774344791,0.06420126009359602,5.231503080737213,0.6422859395596223,0.29444444444444445,0.18888888888888888,0.005555555555555556,0.5111111111111111,1,20,20,True,2.5,20,0.75
172,0.5465116279069767,1.2489292729944013,0.08112472494696112,7.395495331039667,0.8150617549209682,0.31976744186046513,0.29651162790697677,0.011627906976744186,0.37209302325581395,1,20,20,True,2.5,20,1.0
181,0.4198895027624309,1.1946613807929765,0.09387000719782918,5.428450385641512,0.6388770836054061,0.4861878453038674,0.40331491712707185,0.11049723756906077,0.0,1,20,25,False,1.5,10,0.0
223,0.600896860986547,1.114650084390875,0.04268894448588215,2.3743088669747925,0.4603712617047864,0.36771300448430494,0.03587443946188341,0.008968609865470852,0.5874439461883408,1,20,25,False,1.5,10,0.75
217,0.5345622119815668,1.1243939534704164,0.05018790973031597,2.9083821392105143,0.5137672959239145,0.4147465437788018,0.09216589861751152,0.013824884792626729,0.4792626728110599,1,20,25,False,1.5,10,1.0
181,0.4143646408839779,1.1801371839146042,0.0990942459545614,5.2616830959345515,0.6034935220626739,0.5359116022099447,0.4585635359116022,0.0055248618784530384,0.0,1,20,25,False,1.5,20,0.0
223,0.600896860986547,1.1143511046893269,0.04247109248852487,2.368752607847121,0.45813149682312754,0.3721973094170404,0.04035874439461883,0.0,0.5874439461883408,1,20,25,False,1.5,20,0.75
217,0.5345622119815668,1.1226512285507013,0.04939646962274907,2.872088026500738,0.5059484337960356,0.423963133640553,0.0967741935483871,0.0,0.4792626728110599,1,20,25,False,1.5,20,1.0
169,0.5266272189349113,1.3023716557768052,0.1015061573248658,9.430251724133328,0.9257217595898226,0.27218934911242604,0.5384615384615384,0.1893491124260355,0.0,1,20,25,False,2.5,10,0.0
202,0.5841584158415841,1.1674631645708642,0.05672830502124637,4.719924376007587,0.6372564376601011,0.2376237623762376,0.19306930693069307,0.0891089108910891,0.4801980198019802,1,20,25,False,2.5,10,0.75
193,0.5544041450777202,1.2620868599361936,0.08904892249933863,7.718102678270069,0.9296786775474565,0.24870466321243523,0.27461139896373055,0.10362694300518134,0.37305699481865284,1,20,25,False,2.5,10,1.0
169,0.5266272189349113,1.22330786383306,0.08751994912174947,7.803411893397919,0.7138025877178725,0.35502958579881655,0.621301775147929,0.023668639053254437,0.0,1,20,25,False,2.5,20,0.0
