market,tf,trigger,geom,block,family,cond,on_trig,on_all,lift,n,pct,base_n,base_pct,edge
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,test,regime,vol pct(250) >= 0.5,0.3848659483838637,0.47879128765104056,0.8038282197489924,269,-0.011745310199518726,492,-0.01785513549303035,0.006109825293511624
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,research,regime,vol pct(250) <= 0.5,0.6194771569364403,0.5246222773909501,1.1808060458606946,1022,0.00481606462246751,1473,0.008419058048902708,-0.0036029934264351984
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,validation,regime,vol pct(250) <= 0.5,0.6194771569364403,0.5246222773909501,1.1808060458606946,298,-0.004168144721543645,478,0.010605283102298035,-0.01477342782384168
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,test,regime,vol pct(250) <= 0.5,0.6194771569364403,0.5246222773909501,1.1808060458606946,324,-0.0357831413224669,492,-0.01785513549303035,-0.017928005829436548
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,research,location,close in top 30% of bar,0.36958155850663993,0.35768730968405127,1.0332532032883552,1088,0.001506911886428979,1473,0.008419058048902708,-0.00691214616247373
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,validation,location,close in top 30% of bar,0.36958155850663993,0.35768730968405127,1.0332532032883552,347,0.026320465873227825,478,0.010605283102298035,0.01571518277092979
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,test,location,close in top 30% of bar,0.36958155850663993,0.35768730968405127,1.0332532032883552,361,-0.0038616938826896104,492,-0.01785513549303035,0.01399344161034074
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,research,location,close > prior RTH high,0.5320304017372421,0.31515351345061,1.6881626858988532,912,0.0046700515261970076,1473,0.008419058048902708,-0.003749006522705701
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,validation,location,close > prior RTH high,0.5320304017372421,0.31515351345061,1.6881626858988532,273,0.004329664194844975,478,0.010605283102298035,-0.00627561890745306
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,test,location,close > prior RTH high,0.5320304017372421,0.31515351345061,1.6881626858988532,296,-0.0004639175394213541,492,-0.01785513549303035,0.017391217953608998
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,research,location,(close-VWAP)/ATR >= 0.5,0.5050530359976614,0.3829399328924145,1.3188831788393145,895,0.009830051802608892,1473,0.008419058048902708,0.0014109937537061835
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,validation,location,(close-VWAP)/ATR >= 0.5,0.5050530359976614,0.3829399328924145,1.3188831788393145,311,0.02131623894183381,478,0.010605283102298035,0.010710955839535775
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,test,location,(close-VWAP)/ATR >= 0.5,0.5050530359976614,0.3829399328924145,1.3188831788393145,290,-0.011608789679162882,492,-0.01785513549303035,0.006246345813867469
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,research,location,0 < (close-VWAP)/ATR <= 2,0.5612628413931345,0.4971004092398999,1.1290733842914016,1040,0.011476169433279166,1473,0.008419058048902708,0.0030571113843764573
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,validation,location,0 < (close-VWAP)/ATR <= 2,0.5612628413931345,0.4971004092398999,1.1290733842914016,310,0.043594921437554036,478,0.010605283102298035,0.032989638335256005
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,test,location,0 < (close-VWAP)/ATR <= 2,0.5612628413931345,0.4971004092398999,1.1290733842914016,319,-0.024802040159034117,492,-0.01785513549303035,-0.006946904666003766
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,research,volume,volume >= its time-of-day mean,0.702998413096133,0.7487150642952733,0.9389398539186986,1154,0.012982054202400117,1473,0.008419058048902708,0.004562996153497409
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,validation,volume,volume >= its time-of-day mean,0.702998413096133,0.7487150642952733,0.9389398539186986,457,0.008261793994988722,478,0.010605283102298035,-0.002343489107309313
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,test,volume,volume >= its time-of-day mean,0.702998413096133,0.7487150642952733,0.9389398539186986,474,-0.016750221867237736,492,-0.01785513549303035,0.0011049136257926147
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,research,volume,volume >= 1.5x that mean,0.3507057546145494,0.4245233615857561,0.8261165022921945,732,0.0184009828202618,1473,0.008419058048902708,0.00998192477135909
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,validation,volume,volume >= 1.5x that mean,0.3507057546145494,0.4245233615857561,0.8261165022921945,309,0.016141199368265052,478,0.010605283102298035,0.005535916265967018
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,test,volume,volume >= 1.5x that mean,0.3507057546145494,0.4245233615857561,0.8261165022921945,314,0.00017433729694847817,492,-0.01785513549303035,0.01802947278997883
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,research,clock,09:30-11:00 New York,0.04451682953311618,0.04385267363602863,1.0151451631569823,325,0.03526674413497193,1473,0.008419058048902708,0.026847686086069224
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,validation,clock,09:30-11:00 New York,0.04451682953311618,0.04385267363602863,1.0151451631569823,104,0.06242090185427699,478,0.010605283102298035,0.05181561875197896
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,test,clock,09:30-11:00 New York,0.04451682953311618,0.04385267363602863,1.0151451631569823,103,0.034424848317644204,492,-0.01785513549303035,0.05227998381067456
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,research,clock,09:30-16:00 New York,0.26618224338094043,0.2591400143524894,1.0271753825670165,706,0.00961186742575531,1473,0.008419058048902708,0.0011928093768526025
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,validation,clock,09:30-16:00 New York,0.26618224338094043,0.2591400143524894,1.0271753825670165,245,0.057801529133370076,478,0.010605283102298035,0.047196246031072045
US100,60,"EMA 13/34/89 stack, <=30 bars old",scalp,test,clock,09:30-16:00 New York,0.26618224338094043,0.2591400143524894,1.0271753825670165,238,-0.015396136711811155,492,-0.01785513549303035,0.0024589987812191957
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,research,trend,close > EMA50,0.9311591157434648,0.600434416766139,1.550809030499227,120,0.8591769757918863,127,0.786458803216517,0.07271817257536939
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,validation,trend,close > EMA50,0.9311591157434648,0.600434416766139,1.550809030499227,64,-0.009348832627168235,59,0.08788295356668908,-0.09723178619385732
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,test,trend,close > EMA50,0.9311591157434648,0.600434416766139,1.550809030499227,47,0.49337183625221487,51,0.42172980831756546,0.07164202793464941
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,research,trend,close > SMA200,0.9109019080440447,0.6292194196035458,1.4476697312012072,116,0.8902229348658721,127,0.786458803216517,0.10376413164935516
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,validation,trend,close > SMA200,0.9109019080440447,0.6292194196035458,1.4476697312012072,60,0.027123442645457487,59,0.08788295356668908,-0.060759510921231594
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,test,trend,close > SMA200,0.9109019080440447,0.6292194196035458,1.4476697312012072,45,0.4431806393588218,51,0.42172980831756546,0.021450831041256335
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,research,trend,EMA13 > EMA48,0.9947045473648819,0.595972839167955,1.669043422773429,127,0.7867065242371419,127,0.786458803216517,0.00024772102062498025
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,validation,trend,EMA13 > EMA48,0.9947045473648819,0.595972839167955,1.669043422773429,59,0.08788295356668908,59,0.08788295356668908,0.0
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,test,trend,EMA13 > EMA48,0.9947045473648819,0.595972839167955,1.669043422773429,51,0.42172980831756546,51,0.42172980831756546,0.0
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,research,trend,EMA 13>34>89 stacked,1.0,0.4985617282742696,2.005769683648638,127,0.786458803216517,127,0.786458803216517,0.0
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,validation,trend,EMA 13>34>89 stacked,1.0,0.4985617282742696,2.005769683648638,59,0.08788295356668908,59,0.08788295356668908,0.0
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,test,trend,EMA 13>34>89 stacked,1.0,0.4985617282742696,2.005769683648638,51,0.42172980831756546,51,0.42172980831756546,0.0
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,research,trend,(close-SMA200)/ATR >= 1,0.8450029419181306,0.5723930101950961,1.4762635581977448,99,1.1036706157395573,127,0.786458803216517,0.3172118125230403
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,validation,trend,(close-SMA200)/ATR >= 1,0.8450029419181306,0.5723930101950961,1.4762635581977448,55,0.16441665570566563,59,0.08788295356668908,0.07653370213897655
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,test,trend,(close-SMA200)/ATR >= 1,0.8450029419181306,0.5723930101950961,1.4762635581977448,47,0.3253258851946012,51,0.42172980831756546,-0.09640392312296425
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,research,trend,close > session VWAP,0.7140455577036228,0.5819619200438331,1.2269626810803038,119,0.8294371149214866,127,0.786458803216517,0.042978311704969685
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,validation,trend,close > session VWAP,0.7140455577036228,0.5819619200438331,1.2269626810803038,65,-0.03204997619437693,59,0.08788295356668908,-0.11993292976106601
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,test,trend,close > session VWAP,0.7140455577036228,0.5819619200438331,1.2269626810803038,47,0.4328152118135375,51,0.42172980831756546,0.011085403495972035
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,research,trend,VWAP rising,0.7258132302261074,0.5775981840596442,1.256605803579116,118,0.8315900835997883,127,0.786458803216517,0.0451312803832713
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,validation,trend,VWAP rising,0.7258132302261074,0.5775981840596442,1.256605803579116,65,-0.03373893274068641,59,0.08788295356668908,-0.1216218863073755
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,test,trend,VWAP rising,0.7258132302261074,0.5775981840596442,1.256605803579116,49,0.37083940368353574,51,0.42172980831756546,-0.05089040463402972
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,research,momentum,RSI(14) >= 55,0.7285870387492646,0.44279200829696885,1.6454385469861972,119,0.8681405366632611,127,0.786458803216517,0.08168173344674412
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,validation,momentum,RSI(14) >= 55,0.7285870387492646,0.44279200829696885,1.6454385469861972,67,-0.06762987702496029,59,0.08788295356668908,-0.1555128305916494
US100,60,"EMA 13/34/89 stack, <=30 bars old",swing,test,momentum,RSI(14) >= 55,0.7285870387492646,0.44279200829696885,1.6454385469861972,46,0.45349235502840246,51,0.42172980831756546,0.031762546710837
