ema,atr,osc,dist,vwap,ent1,tf,market,research_n,research_mean,research_net,research_pf,research_sh,research_dd,validation_n,validation_mean,validation_net,validation_pf,validation_sh,validation_dd,test_n,test_mean,test_net,test_pf,test_sh,test_dd
13,10,1,3.0,2.0,660,15,US30,87,6.2988505747126435,548.0,1.1246304298385263,0.1581913435383948,1072.0,55,24.8,1364.0,1.3010372986095784,0.4861047645557349,1113.0,40,-49.24750000000076,-1969.9000000000306,0.5662828331755381,-1.0924673821145172,3180.0000000000073
13,10,1,3.0,2.0,720,15,US30,87,6.2988505747126435,548.0,1.1246304298385263,0.1581913435383948,1072.0,55,24.8,1364.0,1.3010372986095784,0.4861047645557349,1113.0,40,-49.24750000000076,-1969.9000000000306,0.5662828331755381,-1.0924673821145172,3180.0000000000073
13,10,1,3.0,2.0,840,15,US30,87,6.2988505747126435,548.0,1.1246304298385263,0.1581913435383948,1072.0,55,24.8,1364.0,1.3010372986095784,0.4861047645557349,1113.0,40,-49.24750000000076,-1969.9000000000306,0.5662828331755381,-1.0924673821145172,3180.0000000000073
13,10,1,3.0,2.5,630,15,US30,98,2.316326530612245,227.0,1.0440520085387153,0.06200521170964139,1490.0,62,39.564516129032256,2453.0,1.5501233460417134,0.8522387904698256,914.0,46,-38.48478260869635,-1770.300000000032,0.6403145190783802,-0.9355123110225615,2945.5000000000146
13,10,1,3.0,2.5,660,15,US30,111,-8.495495495495495,-943.0,0.8584721596878283,-0.23697914527631514,2085.0,67,33.56716417910448,2249.0,1.445611254210422,0.7593191281150394,1018.0,51,-24.049019607843565,-1226.5000000000218,0.7561581741187658,-0.6302435415402587,2481.4000000000087
13,10,1,3.0,2.5,720,15,US30,111,-8.495495495495495,-943.0,0.8584721596878283,-0.23697914527631514,2085.0,67,33.56716417910448,2249.0,1.445611254210422,0.7593191281150394,1018.0,51,-24.049019607843565,-1226.5000000000218,0.7561581741187658,-0.6302435415402587,2481.4000000000087
13,10,1,3.0,2.5,840,15,US30,111,-8.495495495495495,-943.0,0.8584721596878283,-0.23697914527631514,2085.0,67,33.56716417910448,2249.0,1.445611254210422,0.7593191281150394,1018.0,51,-24.049019607843565,-1226.5000000000218,0.7561581741187658,-0.6302435415402587,2481.4000000000087
13,10,1,3.0,3.0,630,15,US30,100,2.02,202.0,1.0389886122370198,0.055167704489540545,1518.0,63,29.80952380952381,1878.0,1.3730631704410012,0.6269929567473094,1489.0,49,-31.308163265306835,-1534.100000000035,0.6883050916331359,-0.8057685839092817,2709.3000000000175
13,10,1,3.0,3.0,660,15,US30,123,-10.317073170731707,-1269.0,0.8228643216080402,-0.3155012544565422,2131.0,72,18.52777777777778,1334.0,1.2228533244236552,0.4314655201319668,1717.0,57,-9.42105263157933,-537.0000000000218,0.8936106983655233,-0.2667870395886848,1774.3000000000102
13,10,1,3.0,3.0,720,15,US30,131,-15.221374045801527,-1994.0,0.7490561288698716,-0.48058430209246517,2625.0,73,17.561643835616437,1282.0,1.21232196091421,0.4145150223011871,1769.0,60,-9.680000000000534,-580.800000000032,0.886137740398747,-0.2883908200177225,1774.3000000000102
13,10,1,3.0,3.0,840,15,US30,131,-15.221374045801527,-1994.0,0.7490561288698716,-0.48058430209246517,2625.0,74,5.8108108108108105,430.0,1.0624092888243832,0.1293128591324703,2401.0,60,-9.680000000000534,-580.800000000032,0.886137740398747,-0.2883908200177225,1774.3000000000102
13,10,1,3.0,99.0,630,15,US30,102,3.950980392156863,403.0,1.0777391975308641,0.10916945891351162,1314.0,63,29.80952380952381,1878.0,1.3730631704410012,0.6269929567473094,1489.0,49,-31.308163265306835,-1534.100000000035,0.6883050916331359,-0.8057685839092817,2709.3000000000175
13,10,1,3.0,99.0,660,15,US30,125,-8.544,-1068.0,0.8509836751778987,-0.26372055582901816,1927.0,73,17.19178082191781,1255.0,1.2069249793899424,0.40562568061287047,1796.0,58,-14.732758620690031,-854.5000000000218,0.8407269338303782,-0.416527883065886,1774.3000000000102
13,10,1,3.0,99.0,720,15,US30,144,-13.020833333333334,-1875.0,0.7817737430167597,-0.43686996239878756,2742.0,76,15.131578947368421,1150.0,1.1779359430604983,0.36365815108750493,1848.0,62,-14.582258064516692,-904.1000000000349,0.8333210427344063,-0.4404805806350202,1780.100000000013
