ema,atr,osc,dist,vwap,ent1,tf,market,research_n,research_mean,research_net,research_pf,research_sh,research_dd,locked_n,locked_mean,locked_net,locked_pf,locked_sh,locked_dd
13,10,1,3.0,2.5,840,5,NQ,58,19.198103448274697,1113.4899999999325,1.440053747505253,0.7628811344276701,942.6700000000128,38,54.029999999998836,2053.1399999999558,2.0623499461875676,1.5846345904871975,600.6900000000023
13,10,1,3.0,3.0,630,5,NQ,66,18.499696969695805,1220.9799999999232,1.4429939772149718,0.8158631283932093,849.890000000014,43,41.65790697674302,1791.28999999995,1.7266100670514533,1.313792374650784,695.9100000000035
13,10,1,3.0,3.0,660,5,NQ,66,18.499696969695805,1220.9799999999232,1.4429939772149718,0.8158631283932093,849.890000000014,43,41.65790697674302,1791.28999999995,1.7266100670514533,1.313792374650784,695.9100000000035
13,10,1,3.0,3.0,720,5,NQ,66,18.499696969695805,1220.9799999999232,1.4429939772149718,0.8158631283932093,849.890000000014,43,41.65790697674302,1791.28999999995,1.7266100670514533,1.313792374650784,695.9100000000035
13,10,1,3.0,3.0,840,5,NQ,68,18.982205882351778,1290.7899999999208,1.4683223278426463,0.8613879941275002,849.890000000014,47,46.91829787233926,2205.1599999999453,1.894490258673463,1.5929494236758615,695.9100000000035
13,10,1,3.0,99.0,630,5,NQ,75,11.596666666665502,869.7499999999127,1.2364864864864598,0.5124268635298117,688.1100000000151,49,24.382040816325368,1194.719999999943,1.3710391219684697,0.8039200349516034,972.4400000000023
13,10,1,3.0,99.0,660,5,NQ,84,9.134166666665502,767.2699999999022,1.1856281920079481,0.4375918329480892,709.2400000000198,51,22.294705882351778,1137.0299999999406,1.3450093304810682,0.7638947440818258,972.4400000000023
13,10,1,3.0,99.0,720,5,NQ,86,9.82069767441744,844.5799999998999,1.2020724520825938,0.47905097032929667,755.460000000021,55,43.779999999998836,2407.899999999936,1.680078630296366,1.300441311839344,972.4400000000023
13,10,1,3.0,99.0,840,5,NQ,98,9.36928571428455,918.1899999998859,1.2086454034794019,0.5146998085627469,767.7300000000396,67,46.50388059701376,3115.759999999922,1.7140555567014097,1.4533401389325495,972.4400000000023
13,10,1,3.5,1.5,630,5,NQ,7,73.49428571428454,514.4599999999919,3.9619436927859115,0.9821363232644955,92.47000000000116,8,70.87374999999884,566.9899999999907,2.1519738312440073,0.7922067259304013,439.22000000000116
13,10,1,3.5,1.5,660,5,NQ,7,73.49428571428454,514.4599999999919,3.9619436927859115,0.9821363232644955,92.47000000000116,8,70.87374999999884,566.9899999999907,2.1519738312440073,0.7922067259304013,439.22000000000116
13,10,1,3.5,1.5,720,5,NQ,7,73.49428571428454,514.4599999999919,3.9619436927859115,0.9821363232644955,92.47000000000116,8,70.87374999999884,566.9899999999907,2.1519738312440073,0.7922067259304013,439.22000000000116
13,10,1,3.5,1.5,840,5,NQ,7,73.49428571428454,514.4599999999919,3.9619436927859115,0.9821363232644955,92.47000000000116,8,70.87374999999884,566.9899999999907,2.1519738312440073,0.7922067259304013,439.22000000000116
13,10,1,3.5,2.0,630,5,NQ,12,18.509166666665504,222.10999999998603,1.4539156380282492,0.38449346925195627,246.38000000000466,13,66.7415384615373,867.6399999999849,2.748710093518177,1.1784264609735524,439.22000000000116
13,10,1,3.5,2.0,660,5,NQ,12,18.509166666665504,222.10999999998603,1.4539156380282492,0.38449346925195627,246.38000000000466,13,66.7415384615373,867.6399999999849,2.748710093518177,1.1784264609735524,439.22000000000116
13,10,1,3.5,2.0,720,5,NQ,12,18.509166666665504,222.10999999998603,1.4539156380282492,0.38449346925195627,246.38000000000466,13,66.7415384615373,867.6399999999849,2.748710093518177,1.1784264609735524,439.22000000000116
13,10,1,3.5,2.0,840,5,NQ,12,18.509166666665504,222.10999999998603,1.4539156380282492,0.38449346925195627,246.38000000000466,13,66.7415384615373,867.6399999999849,2.748710093518177,1.1784264609735524,439.22000000000116
13,10,1,3.5,2.5,630,5,NQ,18,-13.942222222223386,-250.96000000002095,0.750764708219106,-0.36457811935018136,256.2600000000093,17,66.42705882352824,1129.2599999999802,3.174246216642863,1.4879402091932383,439.22000000000116
13,10,1,3.5,2.5,660,5,NQ,18,-13.942222222223386,-250.96000000002095,0.750764708219106,-0.36457811935018136,256.2600000000093,17,66.42705882352824,1129.2599999999802,3.174246216642863,1.4879402091932383,439.22000000000116
13,10,1,3.5,2.5,720,5,NQ,18,-13.942222222223386,-250.96000000002095,0.750764708219106,-0.36457811935018136,256.2600000000093,17,66.42705882352824,1129.2599999999802,3.174246216642863,1.4879402091932383,439.22000000000116
13,10,1,3.5,2.5,840,5,NQ,18,-13.942222222223386,-250.96000000002095,0.750764708219106,-0.36457811935018136,256.2600000000093,18,72.94666666666551,1313.039999999979,3.5280911856443593,1.6810034345588327,439.22000000000116
13,10,1,3.5,3.0,630,5,NQ,25,-0.49000000000116417,-12.250000000029104,0.98966506369693,-0.01538558122260994,391.04000000000815,20,16.217499999998836,324.3499999999767,1.2449236949610545,0.3454517191816088,771.9100000000035
13,10,1,3.5,3.0,660,5,NQ,25,-0.49000000000116417,-12.250000000029104,0.98966506369693,-0.01538558122260994,391.04000000000815,20,16.217499999998836,324.3499999999767,1.2449236949610545,0.3454517191816088,771.9100000000035
13,10,1,3.5,3.0,720,5,NQ,25,-0.49000000000116417,-12.250000000029104,0.98966506369693,-0.01538558122260994,391.04000000000815,20,16.217499999998836,324.3499999999767,1.2449236949610545,0.3454517191816088,771.9100000000035
13,10,1,3.5,3.0,840,5,NQ,25,-0.49000000000116417,-12.250000000029104,0.98966506369693,-0.01538558122260994,391.04000000000815,21,24.196666666665504,508.12999999997555,1.3836999448761014,0.5306647254030493,771.9100000000035
13,10,1,3.5,99.0,630,5,NQ,29,-0.5993103448287503,-17.38000000003376,0.9884151869034065,-0.018699718947899117,410.79000000000815,26,-18.450769230770394,-479.72000000003027,0.7924565851294756,-0.422722135372692,980.6300000000047
13,10,1,3.5,99.0,660,5,NQ,32,8.467499999998836,270.95999999996275,1.1801044893183992,0.2778561678107946,394.320000000007,26,-18.450769230770394,-479.72000000003027,0.7924565851294756,-0.422722135372692,980.6300000000047
13,10,1,3.5,99.0,720,5,NQ,33,11.95424242424126,394.4899999999616,1.262213684644295,0.3983311345632718,394.320000000007,27,6.7244444444432805,181.55999999996857,1.0785491169930033,0.1371016473950508,980.6300000000047
